# Time-averaged data for fix PEAve
# TimeStep v_PotEn
10000 -5001.71
20000 -4996.54
30000 -5002.83
40000 -5000.94
50000 -4998.1
60000 -5001.67
70000 -4999.82
80000 -5003.61
90000 -5001.11
100000 -4995.19
110000 -4999.63
120000 -5000.46
130000 -5002.11
140000 -4998.65
150000 -5002.53
160000 -5001.71
170000 -5006.03
180000 -5005.82
190000 -5003.32
200000 -5003.33
210000 -5007.67
220000 -5007.16
230000 -4996.06
240000 -5008.71
250000 -5004.04
260000 -5005.83
270000 -5002.44
280000 -5002.67
290000 -5006.03
300000 -5004.19
310000 -5004.89
320000 -5004.02
330000 -4997.28
340000 -5008.55
350000 -5008.08
360000 -5005.22
370000 -4999.65
380000 -5006.3
390000 -5004.61
400000 -5001.1
410000 -5002.87
420000 -5000.4
430000 -5011.8
440000 -5002.97
450000 -4999.79
460000 -4997.02
470000 -4994.97
480000 -5001.5
490000 -5002.54
500000 -5001.76
510000 -5002.89
520000 -4999.86
530000 -4997.97
540000 -5005.31
550000 -5004.15
560000 -5010.63
570000 -5004.05
580000 -5005.05
590000 -5000.36
600000 -5002.83
610000 -4999.74
620000 -5002.91
630000 -5004.95
640000 -5001.51
650000 -5004.36
660000 -5000.18
670000 -5003.56
680000 -5006
690000 -5003.78
700000 -5002.5
710000 -5002.03
720000 -5000.35
730000 -4997.54
740000 -5000.47
750000 -5006.82
760000 -5011.2
770000 -5006.94
780000 -5005.5
790000 -5002.49
800000 -5001.79
810000 -5003.53
820000 -5010.75
830000 -5009.03
840000 -5005.29
850000 -5004.25
860000 -5001.42
870000 -5007.53
880000 -5007.11
890000 -4999.99
900000 -5001.08
910000 -4995.27
920000 -4995.85
930000 -5003.9
940000 -5000.12
950000 -4999.56
960000 -5005.38
970000 -5002.99
980000 -5004.8
990000 -5000.36
1000000 -5004.86
