# Time-averaged data for fix TEAve
# TimeStep v_TotEn
10000 -4039.55
20000 -4039.5
30000 -4039.54
40000 -4039.56
50000 -4039.52
60000 -4039.58
70000 -4039.54
80000 -4039.55
90000 -4039.55
100000 -4039.54
110000 -4039.63
120000 -4039.62
130000 -4039.55
140000 -4039.57
150000 -4039.58
160000 -4039.52
170000 -4039.57
180000 -4039.6
190000 -4039.52
200000 -4039.51
210000 -4039.51
220000 -4039.54
230000 -4039.52
240000 -4039.56
250000 -4039.5
260000 -4039.51
270000 -4039.52
280000 -4039.51
290000 -4039.54
300000 -4039.54
310000 -4039.53
320000 -4039.48
330000 -4039.5
340000 -4039.54
350000 -4039.5
360000 -4039.51
370000 -4039.51
380000 -4039.52
390000 -4039.54
400000 -4039.56
410000 -4039.55
420000 -4039.54
430000 -4039.61
440000 -4039.59
450000 -4039.57
460000 -4039.53
470000 -4039.58
480000 -4039.58
490000 -4039.59
500000 -4039.55
510000 -4039.59
520000 -4039.59
530000 -4039.59
540000 -4039.56
550000 -4039.54
560000 -4039.55
570000 -4039.58
580000 -4039.61
590000 -4039.58
600000 -4039.51
610000 -4039.5
620000 -4039.54
630000 -4039.55
640000 -4039.53
650000 -4039.52
660000 -4039.52
670000 -4039.53
680000 -4039.56
690000 -4039.55
700000 -4039.6
710000 -4039.59
720000 -4039.55
730000 -4039.49
740000 -4039.46
750000 -4039.49
760000 -4039.59
770000 -4039.53
780000 -4039.52
790000 -4039.51
800000 -4039.5
810000 -4039.54
820000 -4039.56
830000 -4039.53
840000 -4039.54
850000 -4039.5
860000 -4039.55
870000 -4039.58
880000 -4039.55
890000 -4039.53
900000 -4039.53
910000 -4039.49
920000 -4039.56
930000 -4039.54
940000 -4039.5
950000 -4039.53
960000 -4039.54
970000 -4039.53
980000 -4039.53
990000 -4039.53
1000000 -4039.52
