Equimolar mixture of water-methanol at 298 K and 1 atm
#NOTE: MSDs should be divided by the total number of molecules (N).
#Time	MSD__wat_wat	MSD__wat_met	MSD__met_met	
 1000 78.3745 -37.0124 29.2485
 2000 124.205 -60.6162 44.9879
 3000 166.973 -81.3647 58.2565
 4000 207.911 -103.295 71.837
 5000 246.485 -123.756 84.6964
 6000 282.275 -143.227 96.4641
 7000 313.485 -161.653 108.207
 8000 350.395 -182.213 120.46
 9000 389.636 -204.554 133.417
 10000 426.495 -225.162 146.411
 11000 465.513 -245.915 157.616
 12000 506.741 -268.354 169.995
 13000 548.736 -290.458 182.015
 14000 588.071 -311.873 194.29
 15000 624.129 -332.233 205.908
 16000 660.114 -351.344 216.101
 17000 693.748 -369.774 226.879
 18000 730.829 -390.353 238.61
 19000 765.651 -409.435 249.27
 20000 798.928 -428.06 259.594
 20000 774.59 -412.403 255.179
 40000 1305.98 -680.304 385.281
 60000 1904.85 -1027.21 586.921
 80000 2568.07 -1402.89 802.565
 100000 3175.41 -1752.69 1008.58
 120000 3851.06 -2116.32 1202.47
 140000 4564.72 -2512.92 1426.84
 160000 5126.17 -2857.74 1626.72
 180000 5736.05 -3236.85 1861.19
 200000 6387.6 -3587.6 2052.3
 220000 7019.31 -3962.88 2269.23
 240000 7773.66 -4379.21 2507.47
 260000 8438.81 -4753.83 2713.96
 280000 9254.65 -5243.82 3008.17
 300000 10010.2 -5667.88 3249.63
 320000 10990.5 -6214.88 3558.83
 340000 11853.1 -6732.42 3856.47
 360000 12563 -7130.02 4081.65
 380000 13137.8 -7463.17 4270.92
 400000 13799.7 -7843.26 4488.2
 400000 18061.8 -10494.6 6119.52
 800000 19836.2 -11562.2 6770.91
