Equimolar mixture of water-methanol at 298 K and 1 atm
#NOTE: MSDs should be divided by the number of molecules of species i (N_i).
#NOTE: MSDs have been divided by the factor 6 (or 2, i.e., MSD_x, MSD_y, and MSD_z).
#Time	MSD__wat	MSD__met	
 1000 79.1104 84.6793
 2000 124.485 130.67
 3000 165.887 171.77
 4000 206.677 211.976
 5000 246.579 251.493
 6000 286.601 290.202
 7000 326.569 329.094
 8000 366.658 367.595
 9000 406.05 405.76
 10000 445.507 443.846
 11000 485.072 481.775
 12000 524.771 519.699
 13000 564.735 557.399
 14000 604.166 595.14
 15000 643.754 632.918
 16000 683.459 670.745
 17000 723.047 708.582
 18000 762.517 746.44
 19000 801.941 784.334
 20000 841.288 822.127
 20000 847.166 823.348
 40000 1642.89 1596.47
 60000 2443.12 2354.15
 80000 3256.51 3109.7
 100000 4073.73 3874.05
 120000 4914.24 4670.71
 140000 5729.34 5459.63
 160000 6542.96 6238.89
 180000 7350.28 7008.87
 200000 8155.5 7760.9
 220000 8964.13 8502.63
 240000 9771.39 9231.22
 260000 10577.1 9963.34
 280000 11367.3 10665
 300000 12171.1 11373.2
 320000 12959.7 12070.4
 340000 13779.4 12778.5
 360000 14590 13483.8
 380000 15402.5 14203.6
 400000 16226.1 14943.7
 400000 15963.6 14671.8
 800000 30743 30250.6
