# Time-averaged data for fix PressAve
# TimeStep c_P
10000 3.00123
20000 -44.0306
30000 44.7055
40000 8.78767
50000 -59.475
60000 -24.9239
70000 8.43773
80000 5.5758
90000 -24.6517
100000 -36.8744
110000 -161.464
120000 -68.0626
130000 -85.8172
140000 -14.9917
150000 -7.28901
160000 -24.8787
170000 -8.07
180000 -29.1771
190000 -16.9364
200000 -45.8965
210000 32.3931
220000 -52.015
230000 20.5353
240000 -80.7427
250000 -35.8428
260000 -29.3772
270000 -0.245081
280000 -79.8483
290000 45.0732
300000 -88.5219
310000 -18.7708
320000 61.3782
330000 119.103
340000 -71.6608
350000 35.6782
360000 -8.23589
370000 50.1918
380000 26.7587
390000 -57.7758
400000 30.6272
410000 3.26465
420000 9.95925
430000 -21.2274
440000 -60.0666
450000 40.4234
460000 -29.1411
470000 -52.9894
480000 -35.7264
490000 -46.3082
500000 -12.2944
510000 -22.9367
520000 59.9353
530000 -93.9798
540000 -52.2999
550000 -89.3921
560000 -65.7026
570000 0.996776
580000 -20.2673
590000 36.9536
600000 57.8296
610000 -3.28263
620000 -114.106
630000 -82.8002
640000 -75.1484
650000 19.9642
660000 7.10075
670000 -14.6527
680000 -7.44732
690000 -35.3243
700000 -110.406
710000 -76.6118
720000 -68.2979
730000 27.5209
740000 39.0243
750000 65.8638
760000 -88.0361
770000 -58.835
780000 -104.092
790000 -154.177
800000 -1.31218
810000 -54.5599
820000 -38.8905
830000 -88.3694
840000 -20.4699
850000 -40.4113
860000 33.0459
870000 -1.56416
880000 20.6088
890000 -57.8443
900000 28.6328
910000 64.8441
920000 -133.596
930000 83.1779
940000 -73.7814
950000 34.197
960000 -3.64967
970000 22.1535
980000 -44.6819
990000 -41.1685
1000000 13.9181
