# Radius 	finiterdf__wat_wat	rdf__wat_wat	finiterdf__wat_met	rdf__wat_met	finiterdf__met_met	rdf__met_met	
0.00508277 0	0	0	0	0	0	
0.0152483 0	0	0	0	0	0	
0.0254139 0	0	0	0	0	0	
0.0355794 0	0	0	0	0	0	
0.045745 0	0	0	0	0	0	
0.0559105 0	0	0	0	0	0	
0.0660761 0	0	0	0	0	0	
0.0762416 0	0	0	0	0	0	
0.0864071 0	0	0	0	0	0	
0.0965727 0	0	0	0	0	0	
0.106738 0	0	0	0	0	0	
0.116904 0	0	0	0	0	0	
0.127069 0	0	0	0	0	0	
0.137235 0	0	0	0	0	0	
0.1474 0	0	0	0	0	0	
0.157566 0	0	0	0	0	0	
0.167732 0	0	0	0	0	0	
0.177897 0	0	0	0	0	0	
0.188063 0	0	0	0	0	0	
0.198228 0	0	0	0	0	0	
0.208394 0	0	0	0	0	0	
0.218559 0	0	0	0	0	0	
0.228725 0	0	0	0	0	0	
0.23889 0	0	0	0	0	0	
0.249056 0	0	0	0	0	0	
0.259221 0	0	0	0	0	0	
0.269387 0	0	0	0	0	0	
0.279553 0	0	0	0	0	0	
0.289718 0	0	0	0	0	0	
0.299884 0	0	0	0	0	0	
0.310049 0	0	0	0	0	0	
0.320215 0	0	0	0	0	0	
0.33038 0	0	0	0	0	0	
0.340546 0	0	0	0	0	0	
0.350711 0	0	0	0	0	0	
0.360877 0	0	0	0	0	0	
0.371042 0	0	0	0	0	0	
0.381208 0	0	0	0	0	0	
0.391374 0	0	0	0	0	0	
0.401539 0	0	0	0	0	0	
0.411705 0	0	0	0	0	0	
0.42187 0	0	0	0	0	0	
0.432036 0	0	0	0	0	0	
0.442201 0	0	0	0	0	0	
0.452367 0	0	0	0	0	0	
0.462532 0	0	0	0	0	0	
0.472698 0	0	0	0	0	0	
0.482863 0	0	0	0	0	0	
0.493029 0	0	0	0	0	0	
0.503195 0	0	0	0	0	0	
0.51336 0	0	0	0	0	0	
0.523526 0	0	0	0	0	0	
0.533691 0	0	0	0	0	0	
0.543857 0	0	0	0	0	0	
0.554022 0	0	0	0	0	0	
0.564188 0	0	0	0	0	0	
0.574353 0	0	0	0	0	0	
0.584519 0	0	0	0	0	0	
0.594684 0	0	0	0	0	0	
0.60485 0	0	0	0	0	0	
0.615016 0	0	0	0	0	0	
0.625181 0	0	0	0	0	0	
0.635347 0	0	0	0	0	0	
0.645512 0	0	0	0	0	0	
0.655678 0	0	0	0	0	0	
