Equimolar mixture of water-methanol at 298 K and 1 atm
#NOTE: MSDs should be divided by (temperature^2).
#NOTE: MSDs have been divided by 2.
#Time	MSD_x	MSD_y	MSD_z	MSD_all
 10 6.03191 6.0117 6.0833 6.0423
 20 16.5729 16.5266 16.7751 16.6249
 30 25.1945 25.1511 25.5217 25.2891
 40 30.1723 30.1517 30.6123 30.3121
 50 34.0603 34.083 34.6966 34.28
 60 40.5031 40.5817 41.4149 40.8333
 70 48.7355 48.8638 49.9148 49.1714
 80 57.5472 57.6376 58.9092 58.0313
 90 65.5087 65.5044 67.0114 66.0081
 100 72.5719 72.449 74.2259 73.0822
 110 79.4137 79.1948 81.2746 79.9611
 120 86.3991 86.1014 88.4306 86.977
 130 93.8359 93.4938 95.9742 94.4346
 140 101.273 100.919 103.515 101.902
 150 108.677 108.284 111.049 109.337
 160 115.885 115.395 118.389 116.556
 170 123.045 122.393 125.58 123.672
 180 130.118 129.367 132.652 130.713
 190 136.978 136.24 139.544 137.587
 200 143.856 143.165 146.5 144.507
 200 140.438 144.15 149.368 144.652
 400 271.58 273.609 276.389 273.859
 600 395.535 388.814 394.255 392.868
 800 511.74 501.457 505.267 506.155
 1000 629.799 606.524 607.663 614.662
 1200 744.155 719.378 711.544 725.026
 1400 854.177 833.179 818.741 835.366
 1600 966.36 946.71 929.753 947.607
 1800 1081.93 1061.93 1041.83 1061.9
 2000 1199.26 1174.27 1151.13 1174.89
 2200 1312.1 1277.95 1257.93 1282.66
 2400 1422.98 1377.51 1364.16 1388.21
 2600 1534.06 1470.57 1474.73 1493.12
 2800 1645.89 1572.85 1585.98 1601.57
 3000 1756.69 1676.42 1698.69 1710.6
 3200 1867.25 1781.67 1809.8 1819.57
 3400 1982.49 1883.37 1920.35 1928.74
 3600 2096.42 1984.57 2035.66 2038.88
 3800 2212.48 2082.52 2152.44 2149.15
 4000 2323.08 2179.11 2268.49 2256.89
 4000 2306.63 2112.78 2421.4 2280.27
 8000 4369.78 4063.5 5083.68 4505.65
 12000 6731.28 5986.66 8011.35 6909.76
 16000 8975.12 7782.74 10565.7 9107.86
 20000 11004.7 10106.3 13058.4 11389.8
 24000 12730.2 11950.1 15494.3 13391.5
 28000 14485.7 13891.5 17965.6 15447.6
 32000 16616.5 16048.9 19788.1 17484.5
 36000 18660.6 17937.6 21620.4 19406.2
 40000 20599.7 19366.2 23104.1 21023.3
 44000 22652.7 20469.7 24438.1 22520.2
 48000 24141.6 21421.4 26188.1 23917
 52000 25681 21946.2 28026.3 25217.8
 56000 26748.4 22668.7 30335.1 26584.1
 60000 27980.6 22956.2 32033.9 27656.9
 64000 29543.4 22985.4 33617 28715.2
 68000 30957.9 22727.9 34946.1 29544
 72000 32905.9 22841.7 36094.4 30614
 76000 35019.9 22994.2 37344 31786
 80000 37026.3 23436.9 38519.1 32994.1
 80000 57554.6 29232.4 25516.4 37434.5
 160000 93302.7 56503.2 73289.3 74365.1
 240000 198511 75642.1 85703.7 119952
 320000 282853 88664.3 89303.9 153607
 400000 382860 97865.6 103755 194827
 480000 463949 142073 131010 245677
 560000 539629 178152 164705 294162
 640000 590366 247534 191617 343172
 720000 562345 320395 227457 370066
 800000 541281 398788 386182 442084
 880000 591451 407837 718649 572646
 960000 778803 266749 1.0171e+06 687551
