# Time-averaged data for fix TempAve
# TimeStep c_T
10000 298.231
20000 296.642
30000 298.581
40000 297.989
50000 297.12
60000 298.208
70000 297.648
80000 298.819
90000 298.042
100000 296.214
110000 297.56
120000 297.822
130000 298.354
140000 297.274
150000 298.474
160000 298.24
170000 299.562
180000 299.49
190000 298.74
200000 298.747
210000 300.09
220000 299.923
230000 296.489
240000 300.396
250000 298.967
260000 299.52
270000 298.466
280000 298.542
290000 299.573
300000 298.999
310000 299.223
320000 298.968
330000 296.874
340000 300.351
350000 300.219
360000 299.331
370000 297.606
380000 299.661
390000 299.133
400000 298.038
410000 298.59
420000 297.827
430000 301.339
440000 298.609
450000 297.631
460000 296.783
470000 296.13
480000 298.154
490000 298.476
500000 298.247
510000 298.585
520000 297.643
530000 297.061
540000 299.345
550000 298.991
560000 300.996
570000 298.947
580000 299.246
590000 297.801
600000 298.591
610000 297.636
620000 298.607
630000 299.236
640000 298.173
650000 299.061
660000 297.765
670000 298.811
680000 299.555
690000 298.873
700000 298.462
710000 298.316
720000 297.808
730000 296.957
740000 297.873
750000 299.833
760000 301.159
770000 299.857
780000 299.416
790000 298.485
800000 298.27
810000 298.798
820000 301.029
830000 300.508
840000 299.345
850000 299.033
860000 298.141
870000 300.025
880000 299.905
890000 297.705
900000 298.042
910000 296.252
920000 296.413
930000 298.912
940000 297.754
950000 297.573
960000 299.371
970000 298.632
980000 299.194
990000 297.819
1000000 299.216
