Equimolar mixture of water-methanol at 298 K and 1 atm
#NOTE: MSDs should be divided by the temperature.
#NOTE: MSDs have been divided by 2 or 10 (i.e., the viscosity computed from all components).
#Time	MSD_xx	MSD_yy	MSD_zz	MSD_xy	MSD_xz	MSD_yz	MSD_off	MSD_all	MSD_all2	MSD_bulkvisc
 10 1.00293e+09 1.00923e+09 1.00255e+09 1.01812e+09 1.02672e+09 1.02405e+09 1.02297e+09 1.01574e+09 1.01393e+09 1.13456e+09
 20 3.18355e+09 3.20352e+09 3.18654e+09 3.25487e+09 3.27851e+09 3.26952e+09 3.26763e+09 3.23706e+09 3.22942e+09 4.21824e+09
 30 6.60102e+09 6.64539e+09 6.61199e+09 6.76458e+09 6.80806e+09 6.80237e+09 6.79167e+09 6.72279e+09 6.70557e+09 9.07901e+09
 40 1.0758e+10 1.08393e+10 1.07887e+10 1.10573e+10 1.11129e+10 1.11291e+10 1.10998e+10 1.0978e+10 1.09475e+10 1.53729e+10
 50 1.52594e+10 1.53875e+10 1.53251e+10 1.5739e+10 1.57903e+10 1.58602e+10 1.57965e+10 1.56075e+10 1.55602e+10 2.28123e+10
 60 2.0274e+10 2.04607e+10 2.03827e+10 2.09658e+10 2.09962e+10 2.11604e+10 2.10408e+10 2.07735e+10 2.07066e+10 3.12785e+10
 70 2.52345e+10 2.54786e+10 2.53932e+10 2.61759e+10 2.61573e+10 2.6459e+10 2.62641e+10 2.5906e+10 2.58164e+10 4.04333e+10
 80 3.0518e+10 3.08213e+10 3.07249e+10 3.17302e+10 3.16368e+10 3.21274e+10 3.18315e+10 3.13741e+10 3.12598e+10 5.0232e+10
 90 3.58028e+10 3.61596e+10 3.60539e+10 3.73103e+10 3.71098e+10 3.78336e+10 3.74179e+10 3.68529e+10 3.67117e+10 6.04113e+10
 100 4.12453e+10 4.16527e+10 4.15397e+10 4.30684e+10 4.2736e+10 4.37354e+10 4.31799e+10 4.24996e+10 4.23296e+10 7.0894e+10
 110 4.69286e+10 4.73854e+10 4.72629e+10 4.90847e+10 4.8599e+10 4.99091e+10 4.91976e+10 4.83955e+10 4.8195e+10 8.15961e+10
 120 5.26907e+10 5.31888e+10 5.30688e+10 5.52005e+10 5.45466e+10 5.61943e+10 5.53138e+10 5.43814e+10 5.41483e+10 9.2384e+10
