# Time-averaged data for fix TEAve
# TimeStep v_TotEn
100 -16070.4
200 -15983.1
300 -15998.4
400 -16106.9
500 -16158.3
600 -16208.8
700 -16207.2
800 -16227.8
900 -16214.7
1000 -16252.4
1100 -16318.6
1200 -16309.2
1300 -16211.1
1400 -16141.6
1500 -16163.2
1600 -16220.9
1700 -16337.8
1800 -16355.8
1900 -16314.9
2000 -16255.8
2100 -16174.9
2200 -16097.1
2300 -16078.5
2400 -16141.4
2500 -16206.3
2600 -16186.2
2700 -16170.6
2800 -16259.5
2900 -16320.3
3000 -16276.7
3100 -16201.6
3200 -16227.8
3300 -16297.2
3400 -16299
3500 -16269.3
3600 -16208.2
3700 -16129
3800 -16144.2
3900 -16280.6
4000 -16331
4100 -16292.3
4200 -16256.9
4300 -16214.5
4400 -16118.9
4500 -16116.1
4600 -16185.2
4700 -16301.6
4800 -16363.7
4900 -16289.3
5000 -16209.7
5100 -16174.3
5200 -16155.2
5300 -16118.6
5400 -16125.6
5500 -16188.5
5600 -16167.9
5700 -16074.5
5800 -16089.1
5900 -16138.3
6000 -16156.5
6100 -16176.6
6200 -16240.2
6300 -16343.4
6400 -16391.9
6500 -16337.1
6600 -16284.2
6700 -16232.2
6800 -16190.5
6900 -16170.3
7000 -16125.3
7100 -16197.7
7200 -16293.1
7300 -16321.6
7400 -16285.4
7500 -16174
7600 -16152.8
7700 -16179.8
7800 -16145.8
7900 -16058.6
8000 -15994.3
8100 -16049.5
8200 -16127.3
8300 -16178.9
8400 -16196.6
8500 -16199.9
8600 -16225.4
8700 -16270.7
8800 -16302
8900 -16204.7
9000 -16159.8
9100 -16190.9
9200 -16264.3
9300 -16318
9400 -16285.3
9500 -16144.9
9600 -16111.6
9700 -16151.9
9800 -16221.6
9900 -16276.2
10000 -16232.8
10100 -16103.5
10200 -16101.3
10300 -16183.8
10400 -16240
10500 -16265
10600 -16206.8
10700 -16098.7
10800 -16111.9
10900 -16138.8
11000 -16166.6
11100 -16262.6
11200 -16302.7
11300 -16232.3
11400 -16184.5
11500 -16164.6
11600 -16193
11700 -16283.2
11800 -16307
11900 -16179.5
12000 -16108.4
12100 -16145.9
12200 -16234.3
12300 -16254.9
12400 -16289.8
12500 -16379.7
12600 -16353.9
12700 -16232.6
12800 -16232.6
12900 -16305.9
13000 -16343.1
13100 -16300.4
13200 -16208.9
13300 -16165.5
13400 -16232.2
13500 -16319.9
13600 -16285
13700 -16261.2
13800 -16220.3
13900 -16127.9
14000 -16116.5
14100 -16215.4
14200 -16248.9
14300 -16199.8
14400 -16137.8
14500 -16106
14600 -16171.5
14700 -16289.7
14800 -16273.6
14900 -16204.6
15000 -16164.8
15100 -16201.9
15200 -16294.9
15300 -16272.4
15400 -16206
15500 -16240.7
15600 -16335.3
15700 -16261.5
15800 -16189.7
15900 -16166.9
16000 -16231.1
16100 -16248.2
16200 -16125.1
16300 -16106.9
16400 -16163.2
16500 -16212.5
16600 -16245.1
16700 -16255.4
16800 -16194.4
16900 -16138
17000 -16147
17100 -16233.4
17200 -16272.3
17300 -16195.6
17400 -16093.8
17500 -16109.9
17600 -16136.2
17700 -16167.5
17800 -16250
17900 -16262.8
18000 -16147.8
18100 -16104.1
18200 -16136.9
18300 -16214.9
18400 -16290.3
18500 -16275.2
18600 -16221.6
18700 -16172.6
18800 -16153.8
18900 -16191
19000 -16221.1
19100 -16229.7
19200 -16220.7
19300 -16232.6
19400 -16275.5
19500 -16352.2
19600 -16373.9
19700 -16357.8
19800 -16239.8
19900 -16186.2
20000 -16239.4
20100 -16272.1
20200 -16245.4
20300 -16140.6
20400 -16142.4
20500 -16207.4
20600 -16270.8
20700 -16388.7
20800 -16392.8
20900 -16317
21000 -16243.3
21100 -16235.1
21200 -16291.2
21300 -16283.3
21400 -16189.6
21500 -16150.8
21600 -16232.8
21700 -16302
21800 -16317.7
21900 -16282.1
22000 -16216.9
22100 -16213.1
22200 -16340.2
22300 -16363.2
22400 -16297.7
22500 -16228.3
22600 -16224.9
22700 -16291.8
22800 -16409.4
22900 -16379.7
23000 -16281.4
23100 -16233.5
23200 -16218.8
23300 -16218.8
23400 -16287.4
23500 -16382.5
23600 -16421.6
23700 -16366.7
23800 -16273.7
23900 -16220.7
24000 -16182.8
24100 -16231.2
24200 -16314.5
24300 -16349
24400 -16220.9
24500 -16155.9
24600 -16172
24700 -16254.9
24800 -16292.6
24900 -16257.5
25000 -16141.9
25100 -16106.6
25200 -16177.9
25300 -16210.9
25400 -16187.4
25500 -16172.4
25600 -16188.6
25700 -16259.4
25800 -16271.3
25900 -16200.4
26000 -16148.5
26100 -16207.1
26200 -16318.3
26300 -16324.3
26400 -16263.4
26500 -16215.7
26600 -16185.1
26700 -16102.7
26800 -16017.7
26900 -16083.2
27000 -16165.8
27100 -16201.9
27200 -16205
27300 -16133
27400 -16046
27500 -16077.3
27600 -16150.5
27700 -16195.8
27800 -16226.2
27900 -16235.5
28000 -16164.5
28100 -16072
28200 -16085.8
28300 -16145.6
28400 -16175.5
28500 -16221.1
28600 -16253.1
28700 -16200.1
28800 -16087
28900 -16118.6
29000 -16200.9
29100 -16254.3
29200 -16294.4
29300 -16306.1
29400 -16266.2
29500 -16141.5
29600 -16099.5
29700 -16162.5
29800 -16206.4
29900 -16175.4
30000 -16076.2
30100 -16048.4
30200 -16114.5
30300 -16182.4
30400 -16229
30500 -16315
30600 -16266.7
30700 -16196.8
30800 -16197.4
30900 -16169.8
31000 -16058.9
31100 -16022.3
31200 -16115.1
31300 -16155.6
31400 -16140.8
31500 -16073.9
31600 -16023.1
31700 -16045.3
31800 -16124.6
31900 -16213
32000 -16199
32100 -16121.5
32200 -16078.1
32300 -16091.2
32400 -16075.3
32500 -16108.6
32600 -16181.6
32700 -16236.4
32800 -16230.3
32900 -16135.9
33000 -16093.3
33100 -16091.6
33200 -16096.4
33300 -16105.1
33400 -16145.7
33500 -16199
33600 -16264.1
33700 -16341.1
33800 -16295.1
33900 -16194
34000 -16209.6
34100 -16172.6
34200 -16092.7
34300 -16084.7
34400 -16131
34500 -16170.2
34600 -16189.2
34700 -16142.2
34800 -16140.6
34900 -16262.1
35000 -16277.1
35100 -16269.7
35200 -16244.1
35300 -16131.5
35400 -16101.7
35500 -16154.8
35600 -16191.1
35700 -16234.5
35800 -16337.2
35900 -16306.5
36000 -16240.8
36100 -16188.2
36200 -16110.1
36300 -16002.5
36400 -16027.1
36500 -16125.6
36600 -16188.8
36700 -16219.8
36800 -16201.3
36900 -16263.3
37000 -16350
37100 -16357.3
37200 -16262.7
37300 -16238.3
37400 -16281.4
37500 -16317
37600 -16303.7
37700 -16190
37800 -16164.1
37900 -16238.7
38000 -16270.1
38100 -16235.8
38200 -16162
38300 -16045.3
38400 -15955.6
38500 -16021.9
38600 -16113.1
38700 -16199.6
38800 -16266.3
38900 -16296
39000 -16228
39100 -16135.3
39200 -16132.6
39300 -16169
39400 -16217.3
39500 -16200.7
39600 -16076.3
39700 -16016.7
39800 -16068.1
39900 -16151.2
40000 -16207.9
40100 -16219.8
40200 -16151.6
40300 -16054
40400 -16055.8
40500 -16154
40600 -16244.6
40700 -16209.2
40800 -16158.8
40900 -16202.1
41000 -16221.1
41100 -16125.8
41200 -16042.9
41300 -16091.5
41400 -16169.4
41500 -16233
41600 -16195.1
41700 -16132.2
41800 -16138.2
41900 -16276.9
42000 -16282.2
42100 -16201.1
42200 -16150.4
42300 -16130.8
42400 -16098.9
42500 -16081.5
42600 -16131.4
42700 -16207.7
42800 -16241.9
42900 -16271.5
43000 -16304.6
43100 -16258.4
43200 -16187.9
43300 -16171.4
43400 -16206.4
43500 -16279.4
43600 -16311
43700 -16284.5
43800 -16185.4
43900 -16124.2
44000 -16108.2
44100 -16094.8
44200 -16013.2
44300 -16026.5
44400 -16120.8
44500 -16185.9
44600 -16213.3
44700 -16215.7
44800 -16219.3
44900 -16186.6
45000 -16134
45100 -16135.6
45200 -16209.9
45300 -16284
45400 -16254.1
45500 -16196.7
45600 -16186.2
45700 -16208.5
45800 -16251
45900 -16266.3
46000 -16212.4
46100 -16145.3
46200 -16130.8
46300 -16213.3
46400 -16306.4
46500 -16291.9
46600 -16239.5
46700 -16203
46800 -16193.1
46900 -16202.6
47000 -16216.6
47100 -16201.9
47200 -16158.2
47300 -16215.3
47400 -16330.1
47500 -16338.4
47600 -16272
47700 -16201.4
47800 -16185.1
47900 -16190.4
48000 -16201.2
48100 -16134
48200 -16056.4
48300 -16125.6
48400 -16211.6
48500 -16253.9
48600 -16311.1
48700 -16355.5
48800 -16275.8
48900 -16170.4
49000 -16191.2
49100 -16211.9
49200 -16174.4
49300 -16080.3
49400 -16033.4
49500 -16082
49600 -16213.8
49700 -16245.4
49800 -16230.5
49900 -16189.7
50000 -16133.6
50100 -16144.5
50200 -16239.3
50300 -16294.5
50400 -16272.7
50500 -16164.2
50600 -16140.2
50700 -16178.6
50800 -16237.7
50900 -16252.5
51000 -16327.4
51100 -16373.7
51200 -16284.5
51300 -16201.6
51400 -16192.4
51500 -16180.5
51600 -16092.2
51700 -16057.2
51800 -16116.5
51900 -16169.8
52000 -16152.7
52100 -16139.7
52200 -16127.7
52300 -16187.1
52400 -16269.7
52500 -16239.8
52600 -16167.3
52700 -16172.2
52800 -16143.9
52900 -16058.6
53000 -16050
53100 -16172.8
53200 -16212.7
53300 -16205.5
53400 -16225.6
53500 -16302.5
53600 -16327.4
53700 -16227.4
53800 -16163.1
53900 -16171
54000 -16173.4
54100 -16136
54200 -16054.1
54300 -16043
54400 -16125.2
54500 -16141.6
54600 -16172.5
54700 -16186.1
54800 -16091.7
54900 -16045
55000 -16127.3
55100 -16172
55200 -16173.3
55300 -16078.7
55400 -16016.3
55500 -16052.6
55600 -16071.7
55700 -16069.6
55800 -16148.8
55900 -16233.2
56000 -16212.4
56100 -16148.9
56200 -16090.3
56300 -16035.3
56400 -15919.2
56500 -15953
56600 -16053.2
56700 -16123
56800 -16136.7
56900 -16111.6
57000 -16052.6
57100 -16058
57200 -16157.9
57300 -16173.4
57400 -16158
57500 -16256.4
57600 -16315.5
57700 -16280.3
57800 -16203.4
57900 -16166.2
58000 -16178.6
58100 -16246
58200 -16321.2
58300 -16402
58400 -16406
58500 -16298.2
58600 -16239.5
58700 -16196.3
58800 -16196.8
58900 -16268.2
59000 -16358.9
59100 -16321
59200 -16255.7
59300 -16205.6
59400 -16176.8
59500 -16185.1
59600 -16247.1
59700 -16359.9
59800 -16357.9
59900 -16301.6
60000 -16273.7
60100 -16231.8
60200 -16170.7
60300 -16149.7
60400 -16208
60500 -16309.9
60600 -16345.7
60700 -16257.4
60800 -16215.2
60900 -16203
61000 -16147.5
61100 -16076
61200 -16134.4
61300 -16238.1
61400 -16244.7
61500 -16244
61600 -16229
61700 -16178.3
61800 -16088.8
61900 -16048.7
62000 -16124.9
62100 -16190.4
62200 -16219.1
62300 -16243.4
62400 -16258.2
62500 -16324.5
62600 -16401
62700 -16374.4
62800 -16276.8
62900 -16250.1
63000 -16263.8
63100 -16278.8
63200 -16188
63300 -16132.3
63400 -16193.3
63500 -16244
63600 -16243.5
63700 -16261.5
63800 -16345
63900 -16429.7
64000 -16395.4
64100 -16255.6
64200 -16234.9
64300 -16254.3
64400 -16269.5
64500 -16301.5
64600 -16352.5
64700 -16334.7
64800 -16242.2
64900 -16176
65000 -16225.3
65100 -16286.6
65200 -16285.9
65300 -16259.8
65400 -16225.5
65500 -16210
65600 -16273.5
65700 -16327.6
65800 -16278.6
65900 -16182.3
66000 -16198.4
66100 -16210.8
66200 -16188.3
66300 -16247.6
66400 -16334.1
66500 -16336.5
66600 -16266.5
66700 -16158.5
66800 -16097.3
66900 -16111.5
67000 -16140.6
67100 -16232.6
67200 -16273.7
67300 -16260.4
