#NOTE: MSDs should be divided by the total number of molecules (N).
#Time	MSD__wat_wat	MSD__wat_met	MSD__met_met	
 1000 339.095 -161.749 125.021
 2000 549.247 -270.325 195.02
 3000 733.088 -367.461 255.729
 4000 910.782 -462.273 314.151
 5000 1083.32 -555.692 370.04
 6000 1252.97 -648.042 425.096
 7000 1423.42 -741.377 480.416
 8000 1588.38 -832.323 534.271
 9000 1753.34 -924.263 588.322
 10000 1918.41 -1016.14 641.208
 11000 2081.16 -1108.54 695.851
 12000 2252.31 -1203.5 750.602
 13000 2422.35 -1299.41 805.762
 14000 2585.1 -1391.08 858.975
 15000 2742.99 -1479.94 909.976
 16000 2899.59 -1566.03 959.017
 17000 3068.61 -1659.42 1011.45
 18000 3233.27 -1750.85 1063.63
 19000 3393.75 -1842.23 1116.37
 20000 3557.45 -1932.12 1165.62
 21000 3722.44 -2023.64 1217.78
 22000 3882.47 -2114.36 1268.73
 23000 4040.26 -2201.56 1317.22
 24000 4201.89 -2291.74 1367.75
 25000 4362.91 -2381.01 1417.72
 25000 4313.46 -2363.48 1419.4
 50000 8090.61 -4432.39 2554.48
 75000 11534 -6363.16 3637.19
 100000 15368.7 -8505.47 4836.7
 125000 19234.8 -10676.3 6060.05
 150000 23162.3 -12884.7 7291.55
 175000 27312.7 -15226.5 8622.75
 200000 31446 -17563 9935.25
 225000 35881.8 -20055.3 11337.5
 250000 40206.2 -22471.4 12693.5
 275000 44466.7 -24856.8 14026.2
 300000 48334.9 -27027.5 15248.5
 325000 52245.7 -29244.3 16499.5
 350000 56410.4 -31569 17799.7
 375000 60838.8 -34081.3 19226.6
 400000 64545.6 -36158.2 20385.5
 425000 68298.1 -38272.2 21580.1
 450000 71917 -40285.4 22700.1
 475000 75918.7 -42555.3 23988.9
 500000 79626.4 -44642.6 25162.9
 525000 83314.8 -46745.1 26363.8
 550000 87586.8 -49146.4 27706.4
 575000 91575.8 -51389.4 28970.2
 600000 95572 -53648 30249.3
 625000 99547.7 -55899.3 31517.9
 625000 102202 -56968.8 31856.2
 1.25e+06 192410 -107872 60590.4
 1.875e+06 291892 -163383 91557.8
 2.5e+06 384609 -216502 121996
 3.125e+06 448841 -252809 142523
 3.75e+06 410528 -232055 131280
 4.375e+06 417067 -237944 135848
 5e+06 427462 -244431 139885
 5.625e+06 371479 -211883 120948
 6.25e+06 450049 -255286 144945
 6.875e+06 384272 -218092 123913
 7.5e+06 448843 -252851 142555
 8.125e+06 624659 -353769 200510
 8.75e+06 885787 -500633 283161
 9.375e+06 812927 -462839 263595
 1e+07 1.16127e+06 -659532 374796
