# Time-averaged data for fix AveAll
# TimeStep v_TotEn v_PotEn c_T c_P v_Dens
100 -16165.3 -20002.2 297.114 14.5297 0.876364
200 -16250.7 -20070.9 295.821 50.703 0.877897
300 -16275.8 -20098.9 296.049 140.346 0.878827
400 -16232.1 -20066.7 296.94 98.68 0.878585
500 -16119.6 -19985.3 299.346 158.312 0.877253
600 -16089.2 -19972.2 300.69 -200.033 0.874921
700 -16138 -20031.4 301.489 6.15163 0.873878
800 -16215.6 -20047.5 296.734 -298.69 0.873798
900 -16225.6 -20068.3 297.567 14.9465 0.87598
1000 -16213.8 -20045.1 296.677 75.0221 0.878248
1100 -16155.7 -20042.8 301 311.316 0.879273
1200 -16074.3 -19957.6 300.709 152.17 0.87748
1300 -15993.3 -19912.9 303.516 -190.004 0.874661
1400 -16018.9 -19917.3 301.877 -60.7386 0.873487
1500 -16140.8 -19985.4 297.716 40.1587 0.872996
1600 -16190.4 -20010.9 295.846 -133.38 0.872446
1700 -16177.1 -20033.7 298.638 -124.803 0.873086
1800 -16160.4 -20041.2 300.517 177.914 0.874624
1900 -16234.2 -20026.9 293.691 -125.375 0.874856
2000 -16259.4 -20050.4 293.556 -304.789 0.876011
2100 -16163.1 -20034.3 299.77 198.317 0.879274
2200 -16123.9 -20033.4 302.738 361.812 0.880465
2300 -16175.3 -20027.2 298.274 153.139 0.87827
2400 -16213.6 -20081.2 299.492 -229.773 0.875371
2500 -16254.4 -20079.8 296.224 -139.211 0.874652
2600 -16245.7 -20071.8 296.275 101.062 0.87529
2700 -16126.7 -20011.1 300.788 -10.2566 0.875205
2800 -16025.5 -19918.5 301.456 0.328078 0.875023
2900 -16062 -19949 300.997 19.7698 0.875047
3000 -16143.3 -19976.1 296.797 -168.791 0.875022
3100 -16175.4 -20008.1 296.795 93.4444 0.87611
3200 -16166.7 -20006.5 297.343 65.5545 0.876686
3300 -16080.9 -19982.9 302.155 22.6971 0.876427
3400 -16056.3 -19981.6 303.96 84.0342 0.875827
3500 -16151.2 -20039.4 301.084 -109.391 0.874834
3600 -16218.1 -20061.2 297.592 68.2959 0.874591
3700 -16240.8 -20070.4 296.544 -7.85597 0.87376
3800 -16203.5 -20040.1 297.092 -438.277 0.873416
3900 -16105 -20016 302.853 92.6079 0.876437
4000 -16098.6 -19984.6 300.916 85.0607 0.879292
4100 -16185.2 -20046.1 298.974 291.23 0.880938
4200 -16294 -20082.2 293.347 -93.1127 0.880451
4300 -16251.7 -20053.6 294.405 -136.359 0.880452
4400 -16167.2 -20038.2 299.757 197.814 0.88142
4500 -16136 -19996.5 298.938 -52.7866 0.881197
4600 -16144.2 -20026.7 300.652 -63.8874 0.881155
4700 -16228.6 -20062.7 296.905 98.7228 0.881639
4800 -16283.8 -20078.6 293.851 -285.798 0.881684
4900 -16242.4 -20092.3 298.12 -71.5068 0.883811
5000 -16207.6 -20064.6 298.674 176.009 0.886863
5100 -16148 -20011.6 299.182 314.82 0.888413
5200 -16038.2 -20008.3 307.428 242.078 0.887017
5300 -16134.1 -20052.4 303.413 68.8981 0.882991
5400 -16242.1 -20089.5 297.926 -181.839 0.878297
5500 -16257.9 -20036.5 292.6 -292.252 0.875193
5600 -16182 -20057.2 300.079 45.1929 0.874818
5700 -16163.9 -20050.6 300.97 -59.472 0.874641
5800 -16231.2 -20048.5 295.597 -84.3544 0.874858
5900 -16333.1 -20126.1 293.72 -105.334 0.876186
6000 -16334 -20152.1 295.663 114.05 0.877951
