# Radius 	finiterdf__wat_wat	rdf__wat_wat	finiterdf__wat_met	rdf__wat_met	finiterdf__met_met	rdf__met_met	
0.00806551 0	0	0	0	0	0	
0.0241965 0	0	0	0	0	0	
0.0403276 0	0	0	0	0	0	
0.0564586 0	0	0	0	0	0	
0.0725896 0	0	0	0	0	0	
0.0887206 0	0	0	0	0	0	
0.104852 0	0	0	0	0	0	
0.120983 0	0	0	0	0	0	
0.137114 0	0	0	0	0	0	
0.153245 0	0	0	0	0	0	
0.169376 0	0	0	0	0	0	
0.185507 0	0	0	0	0	0	
0.201638 0	0	0	0	0	0	
0.217769 0	0	0	0	0	0	
0.2339 0	0	0	0	0	0	
0.250031 0	0	0	0	0	0	
0.266162 0	0	0	0	0	0	
0.282293 0	0	0	0	0	0	
0.298424 0	0	0	0	0	0	
0.314555 0	0	0	0	0	0	
0.330686 0	0	0	0	0	0	
0.346817 0	0	0	0	0	0	
0.362948 0	0	0	0	0	0	
0.379079 0	0	0	0	0	0	
0.39521 0	0	0	0	0	0	
0.411341 0	0	0	0	0	0	
0.427472 0	0	0	0	0	0	
0.443603 0	0	0	0	0	0	
0.459734 0	0	0	0	0	0	
0.475865 0	0	0	0	0	0	
0.491996 0	0	0	0	0	0	
0.508127 0	0	0	0	0	0	
0.524258 0	0	0	0	0	0	
0.540389 0	0	0	0	0	0	
0.55652 0	0	0	0	0	0	
0.572651 0	0	0	0	0	0	
0.588782 0	0	0	0	0	0	
0.604913 0	0	0	0	0	0	
0.621044 0	0	0	0	0	0	
0.637175 0	0	0	0	0	0	
0.653306 0	0	0	0	0	0	
0.669438 0	0	0	0	0	0	
0.685569 0	0	0	0	0	0	
0.7017 0	0	0	0	0	0	
0.717831 0	0	0	0	0	0	
0.733962 0	0	0	0	0	0	
0.750093 0	0	0	0	0	0	
0.766224 0	0	0	0	0	0	
0.782355 0	0	0	0	0	0	
0.798486 0	0	0	0	0	0	
0.814617 0	0	0	0	0	0	
0.830748 0	0	0	0	0	0	
0.846879 0	0	0	0	0	0	
0.86301 0	0	0	0	0	0	
0.879141 0	0	0	0	0	0	
0.895272 0	0	0	0	0	0	
0.911403 0	0	0	0	0	0	
0.927534 0	0	0	0	0	0	
0.943665 0	0	0	0	0	0	
0.959796 0	0	0	0	0	0	
0.975927 0	0	0	0	0	0	
0.992058 0	0	0	0	0	0	
1.00819 0	0	0	0	0	0	
1.02432 0	0	0	0	0	0	
1.04045 0	0	0	0	0	0	
1.05658 0	0	0	0	0	0	
1.07271 0	0	0	0	0	0	
1.08884 0	0	0	0	0	0	
1.10498 0	0	0	0	0	0	
1.12111 0	0	0	0	0	0	
1.13724 0	0	0	0	0	0	
1.15337 0	0	0	0	0	0	
1.1695 0	0	0	0	0	0	
1.18563 0	0	0	0	0	0	
1.20176 0	0	0	0	0	0	
1.21789 0	0	0	0	0	0	
1.23402 0	0	0	0	0	0	
1.25015 0	0	0	0	0	0	
1.26629 0	0	0	0	0	0	
1.28242 0	0	0	0	0	0	
1.29855 0	0	0	0	0	0	
1.31468 0	0	0	0	0	0	
1.33081 0	0	0	0	0	0	
1.34694 0	0	0	0	0	0	
1.36307 0	0	0	0	0	0	
1.3792 0	0	0	0	0	0	
1.39533 0	0	0	0	0	0	
1.41146 0	0	0	0	0	0	
1.4276 0	0	0	0	0	0	
1.44373 0	0	0	0	0	0	
1.45986 0	0	0	0	0	0	
1.47599 0	0	0	0	0	0	
1.49212 0	0	0	0	0	0	
1.50825 0	0	0	0	0	0	
1.52438 0	0	0	0	0	0	
1.54051 0	0	0	0	0	0	
1.55664 0	0	0	0	0	0	
1.57277 0	0	0	0	0	0	
1.58891 0	0	0	0	0	0	
1.60504 0	0	0	0	0	0	
1.62117 0	0	0	0	0	0	
1.6373 0	0	0	0	0	0	
1.65343 0	0	0	0	0	0	
1.66956 0	0	0	0	0	0	
1.68569 0	0	0	0	0	0	
1.70182 0	0	0	0	0	0	
1.71795 0	0	0	0	0	0	
1.73409 0	0	0	0	0	0	
1.75022 0	0	0	0	0	0	
1.76635 0	0	0	0	0	0	
1.78248 0	0	0	0	0	0	
1.79861 0	0	0	0	0	0	
1.81474 0	0	0	0	0	0	
1.83087 0	0	0	0	0	0	
1.847 0	0	0	0	0	0	
1.86313 0	0	0	0	0	0	
1.87926 0	0	0	0	0	0	
1.8954 0	0	0	0	0	0	
1.91153 0	0	0	0	0	0	
1.92766 0	0	0	0	0	0	
1.94379 0	0	0	0	0	0	
1.95992 0	0	0	0	0	0	
1.97605 0	0	0	0	0	0	
1.99218 0	0	0	0	0	0	
2.00831 0	0	0	0	0	0	
2.02444 0	0	0	0	0	0	
2.04057 0	0	0	0	0	0	
2.05671 0	0	0	0	0	0	
2.07284 0	0	0	0	0	0	
2.08897 0	0	0	0	0	0	
2.1051 0	0	0	0	0	0	
2.12123 0	0	0	0	0	0	
2.13736 0	0	0	0	0	0	
2.15349 0	0	0	0	0	0	
2.16962 0	0	0	0	0	0	
2.18575 0	0	0	0	0	0	
2.20188 0	0	0	0	0	0	
2.21802 0	0	0	0	0	0	
2.23415 0	0	0	0	0	0	
2.25028 0	0	0	0	0	0	
2.26641 0	0	0	0	0	0	
2.28254 0	0	0	0	0	0	
2.29867 0	0	0	0	1.77345e-06	1.77427e-06	
2.3148 0	0	0	0	1.04929e-05	1.04976e-05	
2.33093 0	0	2.58705e-06	2.58559e-06	2.06964e-05	2.07054e-05	
2.34706 0	0	1.02064e-05	1.02006e-05	8.33526e-05	8.3388e-05	
2.3632 6.71172e-06	6.71449e-06	5.28548e-05	5.28237e-05	0.000318807	0.000318938	
2.37933 3.47604e-05	3.47743e-05	0.000270634	0.000270472	0.00115371	0.00115417	
2.39546 0.000212295	0.000212377	0.000896538	0.000895989	0.00344408	0.00344541	
2.41159 0.000808855	0.000809158	0.00289866	0.00289685	0.00857193	0.00857515	
2.42772 0.00282529	0.00282632	0.00811099	0.00810583	0.0204798	0.0204872	
2.44385 0.00837377	0.00837671	0.0197702	0.0197574	0.04161	0.0416246	
2.45998 0.0214435	0.0214508	0.044448	0.0444185	0.079766	0.0797931	
2.47611 0.0503175	0.0503338	0.0886669	0.0886071	0.139546	0.139592	
2.49224 0.106124	0.106157	0.162937	0.162826	0.228132	0.228205	
2.50837 0.205231	0.205294	0.276968	0.276775	0.351045	0.351154	
2.52451 0.364007	0.364114	0.442658	0.442347	0.505786	0.505938	
2.54064 0.599443	0.599616	0.660793	0.660325	0.696126	0.696333	
2.55677 0.92002	0.920284	0.932657	0.931997	0.909683	0.909953	
2.5729 1.32678	1.32716	1.25021	1.24933	1.1383	1.13864	
2.58903 1.81736	1.81791	1.60222	1.6011	1.37266	1.37308	
2.60516 2.3667	2.36747	1.96945	1.9681	1.60018	1.60068	
2.62129 2.95114	2.95218	2.33608	2.33453	1.80414	1.80472	
2.63742 3.53492	3.5363	2.67398	2.67228	1.98158	1.98226	
2.65355 4.08809	4.08987	2.97524	2.97343	2.12498	2.12573	
2.66968 4.5887	4.59095	3.22352	3.22167	2.22608	2.22692	
2.68582 5.00623	5.009	3.40958	3.40775	2.28541	2.28631	
