#NOTE: MSDs should be divided by the temperature.
#NOTE: MSDs have been divided by 2 or 10 (i.e., the viscosity computed from all components).
#Time	MSD_xx	MSD_yy	MSD_zz	MSD_xy	MSD_xz	MSD_yz	MSD_off	MSD_all	MSD_all2	MSD_bulkvisc
 10 1.0178e+09 1.02012e+09 1.01982e+09 1.02175e+09 1.02216e+09 1.02151e+09 1.02181e+09 1.02078e+09 1.02053e+09 1.15577e+09
 20 3.24822e+09 3.25637e+09 3.25614e+09 3.26501e+09 3.26556e+09 3.26129e+09 3.26396e+09 3.2598e+09 3.25877e+09 4.30028e+09
 30 6.74762e+09 6.7657e+09 6.76285e+09 6.7842e+09 6.78545e+09 6.77545e+09 6.7817e+09 6.77251e+09 6.77021e+09 9.26494e+09
 40 1.10198e+10 1.10509e+10 1.1042e+10 1.10817e+10 1.10843e+10 1.10646e+10 1.10769e+10 1.10612e+10 1.10572e+10 1.57068e+10
 50 1.56709e+10 1.57182e+10 1.56994e+10 1.57635e+10 1.57679e+10 1.57337e+10 1.57551e+10 1.57315e+10 1.57256e+10 2.33393e+10
 60 2.08587e+10 2.0925e+10 2.08924e+10 2.09851e+10 2.09937e+10 2.09391e+10 2.09726e+10 2.09404e+10 2.09323e+10 3.2047e+10
 70 2.60157e+10 2.61024e+10 2.60545e+10 2.61812e+10 2.61936e+10 2.61116e+10 2.61621e+10 2.61203e+10 2.61098e+10 4.1487e+10
 80 3.15084e+10 3.16185e+10 3.15538e+10 3.17181e+10 3.17346e+10 3.16196e+10 3.16907e+10 3.16385e+10 3.16255e+10 5.16135e+10
 90 3.70109e+10 3.71459e+10 3.70658e+10 3.72709e+10 3.72905e+10 3.71362e+10 3.72325e+10 3.71692e+10 3.71534e+10 6.21535e+10
 100 4.2682e+10 4.28464e+10 4.27526e+10 4.30019e+10 4.30236e+10 4.28256e+10 4.29504e+10 4.28744e+10 4.28554e+10 7.30225e+10
 110 4.86009e+10 4.87992e+10 4.86927e+10 4.89878e+10 4.90123e+10 4.87655e+10 4.89219e+10 4.88322e+10 4.88098e+10 8.4131e+10
 120 5.46118e+10 5.48496e+10 5.47318e+10 5.50763e+10 5.51035e+10 5.48042e+10 5.49947e+10 5.48892e+10 5.48629e+10 9.53383e+10
 130 6.10103e+10 6.12961e+10 6.11657e+10 6.15601e+10 6.1594e+10 6.12383e+10 6.14641e+10 6.13414e+10 6.13107e+10 1.06686e+11
 140 6.75181e+10 6.78593e+10 6.77147e+10 6.81615e+10 6.8205e+10 6.77901e+10 6.80522e+10 6.79102e+10 6.78748e+10 1.18034e+11
 150 7.43486e+10 7.47557e+10 7.45937e+10 7.50942e+10 7.51531e+10 7.46765e+10 7.49746e+10 7.48111e+10 7.47703e+10 1.29436e+11
 160 8.13535e+10 8.18347e+10 8.16504e+10 8.22059e+10 8.22862e+10 8.17425e+10 8.20782e+10 8.18921e+10 8.18455e+10 1.40831e+11
 170 8.8523e+10 8.90882e+10 8.88764e+10 8.94917e+10 8.9597e+10 8.89814e+10 8.93567e+10 8.91457e+10 8.9093e+10 1.52219e+11
 180 9.59296e+10 9.65873e+10 9.63403e+10 9.702e+10 9.7155e+10 9.64592e+10 9.6878e+10 9.66411e+10 9.65819e+10 1.63633e+11
 190 1.03409e+11 1.04166e+11 1.03877e+11 1.04631e+11 1.04795e+11 1.04013e+11 1.0448e+11 1.04215e+11 1.04149e+11 1.75027e+11
 200 1.11145e+11 1.1201e+11 1.11668e+11 1.12507e+11 1.12702e+11 1.11825e+11 1.12345e+11 1.1205e+11 1.11976e+11 1.86476e+11
 210 1.18987e+11 1.19965e+11 1.19564e+11 1.20499e+11 1.20721e+11 1.19741e+11 1.2032e+11 1.19994e+11 1.19913e+11 1.97937e+11
 220 1.27053e+11 1.28153e+11 1.27686e+11 1.2873e+11 1.28976e+11 1.27884e+11 1.2853e+11 1.2817e+11 1.2808e+11 2.09466e+11
 230 1.35319e+11 1.36545e+11 1.36007e+11 1.3717e+11 1.37435e+11 1.3622e+11 1.36942e+11 1.36548e+11 1.36449e+11 2.21061e+11
 240 1.43761e+11 1.45121e+11 1.44507e+11 1.45803e+11 1.46081e+11 1.44734e+11 1.45539e+11 1.45109e+11 1.45001e+11 2.32733e+11
 250 1.52458e+11 1.53959e+11 1.53265e+11 1.54702e+11 1.54992e+11 1.535e+11 1.54398e+11 1.5393e+11 1.53813e+11 2.44519e+11
 250 1.52981e+11 1.53826e+11 1.53588e+11 1.54874e+11 1.54726e+11 1.53448e+11 1.54349e+11 1.53995e+11 1.53907e+11 2.4464e+11
 500 4.1427e+11 4.2162e+11 4.17522e+11 4.2314e+11 4.24614e+11 4.16556e+11 4.21437e+11 4.19984e+11 4.1962e+11 5.84326e+11
 750 7.40994e+11 7.58008e+11 7.47021e+11 7.59612e+11 7.66406e+11 7.45251e+11 7.5709e+11 7.53724e+11 7.52882e+11 1.01164e+12
 1000 1.11879e+12 1.14789e+12 1.128e+12 1.15113e+12 1.16445e+12 1.12594e+12 1.14717e+12 1.14093e+12 1.13937e+12 1.51032e+12
 1250 1.5384e+12 1.58044e+12 1.55209e+12 1.58623e+12 1.61015e+12 1.54618e+12 1.58086e+12 1.5713e+12 1.56892e+12 2.06679e+12
 1500 1.99353e+12 2.04928e+12 2.01216e+12 2.05503e+12 2.0963e+12 1.99755e+12 2.04963e+12 2.03711e+12 2.03397e+12 2.66723e+12
 1750 2.47651e+12 2.5488e+12 2.50508e+12 2.55289e+12 2.61868e+12 2.47634e+12 2.5493e+12 2.53364e+12 2.52972e+12 3.30722e+12
 2000 2.98237e+12 3.07306e+12 3.02387e+12 3.07598e+12 3.17065e+12 2.97999e+12 3.07554e+12 3.0559e+12 3.05099e+12 3.98269e+12
