# Time-averaged data for fix PEAve
# TimeStep v_PotEn
100 -20070.8
200 -20156
300 -20082.3
400 -20038.5
500 -19998.1
600 -20004.2
700 -20011.5
800 -20100
900 -20131.4
1000 -20123.3
1100 -20065.6
1200 -20048.2
1300 -20052.9
1400 -20040.2
1500 -20061.1
1600 -20049.6
1700 -20018.7
1800 -20016.8
1900 -20045.5
2000 -20088.6
2100 -20101
2200 -20069.6
2300 -19979.7
2400 -19908.3
2500 -19915.6
2600 -19972
2700 -20007.8
2800 -19990.7
2900 -20007.3
3000 -20034.2
3100 -20020.1
3200 -19990.2
3300 -19954.7
3400 -19956
3500 -19921
3600 -19992.4
3700 -20040.2
3800 -20070
3900 -20073
4000 -19993
4100 -20032.5
4200 -20053.4
4300 -20049.5
4400 -20093.6
4500 -20054.6
4600 -20052
4700 -19979.6
4800 -19962.3
4900 -19992.7
5000 -20032.5
5100 -20004.2
5200 -20004.3
5300 -19972.4
5400 -19978
5500 -20004
5600 -20033.3
5700 -20036.1
5800 -20054
5900 -20071.8
6000 -20057.1
6100 -20088.9
6200 -20079.1
6300 -20035.4
6400 -20005.9
6500 -20003.3
6600 -20006.7
6700 -20033.2
6800 -20101.9
6900 -20097.6
7000 -20090.5
7100 -20039.6
7200 -20008.6
7300 -19993.2
7400 -20068.4
7500 -20065.6
7600 -20031.1
7700 -20054.6
7800 -20052.4
7900 -20112.6
8000 -20137.9
8100 -20104
8200 -20112.8
8300 -20039.9
8400 -20005.8
8500 -19975.4
8600 -20029.9
8700 -20033.3
8800 -20064.5
8900 -20079.6
9000 -20109.7
9100 -20163.6
9200 -20143.3
9300 -20133.7
9400 -20062.2
9500 -20089.6
9600 -20067.4
9700 -20067.2
9800 -20114.2
9900 -20114.8
10000 -20059.9
10100 -20014.6
10200 -20033
10300 -20109.1
10400 -20063.3
10500 -20080.1
10600 -20039.8
10700 -20027.5
10800 -20026.5
10900 -20001.8
11000 -19988.4
11100 -19948.1
11200 -19922.5
11300 -19937.7
11400 -19984.4
11500 -20032.1
11600 -20043.6
11700 -20028.2
11800 -20041.1
11900 -19991.5
12000 -20016.9
12100 -20057.4
12200 -20114.6
12300 -20131.4
12400 -20170.2
12500 -20079.4
12600 -20058.1
12700 -20072.6
12800 -20123
12900 -20183.6
13000 -20167.9
13100 -20135.3
13200 -20063.4
13300 -20055.9
13400 -20054.8
13500 -20041.8
13600 -20037.6
13700 -19997.1
13800 -19948.4
13900 -19938.1
14000 -20005.7
14100 -20070.6
14200 -20085.6
14300 -20048
14400 -20027.8
14500 -20030.9
14600 -20102.4
14700 -20097.2
14800 -20103
14900 -20061.2
15000 -20025.1
15100 -19978.3
