#NOTE: MSDs should be divided by the total number of molecules (N).
#Time	MSD__met_met	MSD__met_wat	MSD__wat_wat	
 1000 125.763 -162.931 337.628
 2000 196.392 -272.78 548.218
 3000 256.946 -370.775 735.239
 4000 314.961 -466.04 914.929
 5000 370.963 -558.899 1086.7
 6000 426.223 -652.036 1256.17
 7000 479.537 -741.215 1417.5
 8000 532.868 -831.773 1581.31
 9000 586.999 -924.987 1750.63
 10000 640.774 -1017.39 1918.84
 11000 695.821 -1112.82 2089.9
 12000 748.292 -1204.68 2255.54
 13000 800.218 -1295.84 2419.04
 14000 852.148 -1387.33 2581.96
 15000 903.995 -1479.28 2748.04
 16000 957.398 -1571.96 2915.23
 17000 1010.82 -1665.78 3082.99
 18000 1063.85 -1759.29 3251.69
 19000 1116.36 -1852.77 3420.12
 20000 1169.29 -1947.2 3589.98
 21000 1221.93 -2042.72 3763.25
 22000 1276.54 -2139.56 3935.45
 23000 1329.47 -2234.14 4105
 24000 1381.04 -2326.09 4271.16
 25000 1437.09 -2424.52 4445.08
 25000 1446.09 -2460.75 4534.94
 50000 2783.01 -4853.02 8841.81
 75000 4219.95 -7368.87 13264.6
 100000 5592.31 -9843.87 17747.1
 125000 6778.16 -11976.6 21565.3
 150000 7972.12 -14102.2 25346.2
 175000 9254.17 -16385.1 29413
 200000 10625.3 -18837.4 33788.2
 225000 12088.9 -21431.5 38387.5
 250000 13444.7 -23861.3 42754.1
 275000 14914.5 -26399.1 47153.3
 300000 16222.3 -28690.1 51170.9
 325000 17613.6 -31195.6 55668
 350000 19034.2 -33721.2 60166.9
 375000 20554.4 -36404.8 64886
 400000 22192.8 -39325.7 70093.9
 425000 23834.6 -42229 75217.3
 450000 25491.7 -45154.6 80412.3
 475000 27006.4 -47842.8 85179.2
 500000 28525.9 -50541.9 89957.8
 525000 29992.8 -53143.6 94582.1
 550000 31352.3 -55560.5 98875.3
 575000 32668.4 -57909.4 103064
 600000 33820.4 -60008.2 106883
 625000 35016.9 -62100 110526
 625000 36981.7 -64985.8 114412
 1.25e+06 63894.8 -112559 198567
 1.875e+06 83465.3 -147464 260816
 2.5e+06 108024 -190149 334985
 3.125e+06 120056 -210933 370874
 3.75e+06 157948 -278209 490304
 4.375e+06 166616 -294691 521451
 5e+06 219296 -387944 686465
 5.625e+06 262235 -464523 823062
 6.25e+06 265803 -471285 835784
 6.875e+06 343182 -607409 1.07524e+06
 7.5e+06 414608 -733172 1.29678e+06
 8.125e+06 505623 -894033 1.58108e+06
 8.75e+06 639464 -1.13447e+06 2.01296e+06
 9.375e+06 728298 -1.28537e+06 2.26873e+06
 1e+07 1.01552e+06 -1.79341e+06 3.16725e+06
