#NOTE: MSDs should be divided by the number of molecules of species i (N_i).
#NOTE: MSDs have been divided by the factor 6 (or 2, i.e., MSD_x, MSD_y, and MSD_z).
#Time	MSD__met	MSD__wat	
 1000 343.46 322.048
 2000 538.416 516.942
 3000 713.796 694.894
 4000 880.809 865.856
 5000 1043.55 1033.3
 6000 1204.17 1199.05
 7000 1363.52 1363.8
 8000 1521.87 1527.91
 9000 1679.48 1691.09
 10000 1836.1 1853.62
 11000 1992.44 2015.8
 12000 2148.43 2177.61
 13000 2304.17 2339.25
 14000 2459.73 2500.6
 15000 2614.77 2661.69
 16000 2769.73 2822.53
 17000 2924.33 2983.19
 18000 3078.69 3143.37
 19000 3233.16 3303.63
 20000 3387.55 3463.92
 21000 3541.96 3624.2
 22000 3696.14 3784.46
 23000 3850.26 3944.63
 24000 4004.23 4104.91
 25000 4158.29 4264.84
 25000 4158.05 4270.36
 50000 7992.62 8241.87
 75000 11830.7 12195.3
 100000 15673.9 16134.2
 125000 19524.5 20085
 150000 23367.4 24020.9
 175000 27219.2 27964.1
 200000 31077.7 31908.8
 225000 34948.2 35851.5
 250000 38819.9 39785.4
 275000 42697.2 43730.6
 300000 46574 47669.1
 325000 50444.6 51611
 350000 54328.6 55549.7
 375000 58209.5 59497.5
 400000 62073.8 63435.7
 425000 65936.7 67371.8
 450000 69803.8 71305
 475000 73662.9 75246.4
 500000 77521.9 79194.5
 525000 81379.2 83143.1
 550000 85233.5 87088
 575000 89088.2 91022.3
 600000 92928.5 94961.9
 625000 96768.6 98915.4
 625000 97076.1 98454.4
 1.25e+06 191742 198211
 1.875e+06 284665 298416
 2.5e+06 377455 401483
 3.125e+06 468295 503920
 3.75e+06 559062 604479
 4.375e+06 648976 707947
 5e+06 740210 811862
 5.625e+06 830338 912098
 6.25e+06 921425 1.01379e+06
 6.875e+06 1.01317e+06 1.11105e+06
 7.5e+06 1.102e+06 1.2051e+06
 8.125e+06 1.19013e+06 1.30002e+06
 8.75e+06 1.27416e+06 1.4014e+06
 9.375e+06 1.36339e+06 1.51093e+06
 1e+07 1.4448e+06 1.61698e+06
