#NOTE: MSDs should be divided by the number of molecules of species i (N_i).
#NOTE: MSDs have been divided by the factor 6 (or 2, i.e., MSD_x, MSD_y, and MSD_z).
#Time	MSD__wat	MSD__met	
 1000 321.832 343.794
 2000 516.424 538.919
 3000 694.294 714.75
 4000 864.7 881.923
 5000 1031.95 1045.15
 6000 1197.84 1206.5
 7000 1362.95 1366.75
 8000 1527.29 1526.09
 9000 1690.77 1684.5
 10000 1853.65 1842.02
 11000 2015.84 1998.91
 12000 2177.66 2155.31
 13000 2339.16 2311.67
 14000 2500.39 2467.61
 15000 2661.66 2623.6
 16000 2822.65 2779.55
 17000 2983.39 2935.08
 18000 3144.08 3090.64
 19000 3304.56 3246.02
 20000 3465.1 3401.42
 21000 3625.67 3556.69
 22000 3786.29 3711.85
 23000 3946.69 3866.79
 24000 4106.54 4021.06
 25000 4266.07 4175.23
 25000 4265.2 4174.13
 50000 8231.05 8020.63
 75000 12186.6 11875
 100000 16139.1 15735.6
 125000 20097.8 19588.9
 150000 24049.5 23436.3
 175000 27979.9 27276.4
 200000 31907 31104.1
 225000 35819.5 34922.4
 250000 39726.5 38746.6
 275000 43643.2 42580.8
 300000 47547.7 46410.6
 325000 51462.9 50241.1
 350000 55394.1 54059.7
 375000 59322.6 57879.1
 400000 63256 61679.1
 425000 67184 65482.8
 450000 71127.4 69283.4
 475000 75077.3 73091.5
 500000 79027 76920.5
 525000 82991.4 80745.9
 550000 86956.1 84584
 575000 90922.8 88417.1
 600000 94888 92235
 625000 98839.8 96043.7
 625000 98460.8 95953.5
 1.25e+06 196574 190534
 1.875e+06 295846 284687
 2.5e+06 394812 381295
 3.125e+06 494505 478673
 3.75e+06 594517 575663
 4.375e+06 691080 673007
 5e+06 787480 768368
 5.625e+06 885152 863247
 6.25e+06 983575 959042
 6.875e+06 1.08352e+06 1.05772e+06
 7.5e+06 1.18824e+06 1.15736e+06
 8.125e+06 1.29144e+06 1.2547e+06
 8.75e+06 1.38718e+06 1.34976e+06
 9.375e+06 1.48803e+06 1.45318e+06
 1e+07 1.59182e+06 1.55544e+06
