# Time-averaged data for fix PressAve
# TimeStep c_P
100 26.1421
200 -72.6596
300 -148.361
400 -142.802
500 31.2266
600 89.1626
700 140.832
800 64.7129
900 17.9655
1000 -53.2821
1100 246.849
1200 208.818
1300 6.30559
1400 -182.177
1500 -66.3937
1600 52.6823
1700 -34.8876
1800 14.3299
1900 10.05
2000 -4.24211
2100 -71.0413
2200 -232.765
2300 55.047
2400 168.252
2500 261.708
2600 76.1303
2700 76.1921
2800 262.705
2900 121.511
3000 170.378
3100 357.387
3200 -124.927
3300 -118.32
3400 127.363
3500 105.272
3600 -38.0079
3700 36.2346
3800 178.45
3900 -153.308
4000 -124.393
4100 52.2789
4200 180.566
4300 -15.9433
4400 -54.6403
4500 88.2196
4600 -193.019
4700 -77.9296
4800 289.094
4900 179.645
5000 -181.199
5100 -187.289
5200 -104.715
5300 -451.59
5400 -196.052
5500 185.091
5600 396.512
5700 95.8031
5800 12.855
5900 243.955
6000 153.168
6100 9.12633
6200 -0.0404181
6300 10.5529
6400 -182.121
6500 6.53803
6600 -36.1269
6700 -42.1525
6800 -106.119
6900 -8.38687
7000 122.618
7100 -194.657
7200 -168.576
7300 -23.2185
7400 -39.7953
7500 78.9071
7600 8.6392
7700 22.1404
7800 -40.1326
7900 -49.6539
8000 -45.2299
8100 86.3312
8200 101.846
8300 -58.9915
8400 152.98
8500 -2.4151
8600 -273.741
8700 -289.389
8800 -181.027
8900 -177.618
9000 33.4338
9100 -71.1973
9200 153.527
9300 109.719
9400 276.754
9500 104.746
9600 -159.112
9700 -154.569
9800 -96.3518
9900 -183.497
10000 38.3341
10100 -6.2806
10200 -91.7418
10300 89.141
10400 116.505
10500 -154.85
10600 -159.462
10700 61.2584
10800 59.3556
10900 -60.2385
11000 -118.677
11100 -75.5767
11200 -89.887
11300 86.7535
11400 179.433
11500 -121.234
11600 -301.578
11700 148.574
11800 46.2827
11900 -297.257
12000 -11.4285
12100 233.864
12200 -109.248
12300 11.4887
12400 4.51439
12500 27.4945
12600 -67.7401
12700 -95.4065
12800 -267.427
12900 -380.635
13000 -100.191
13100 259.531
13200 9.71719
13300 -279.544
13400 -255.495
13500 -234.277
13600 -50.7037
13700 -217.124
13800 -30.8454
13900 -144.763
14000 28.9001
14100 27.926
14200 -91.7756
14300 82.199
14400 -108.304
14500 -70.6479
14600 -202.855
14700 -33.5537
14800 -75.4299
14900 33.5216
15000 -168.964
15100 -184.673
15200 40.0105
15300 -205.966
15400 -160.103
15500 -108.621
15600 -64.677
15700 -58.2397
15800 16.8789
15900 -59.1223
16000 152.401
16100 27.3174
16200 -29.0547
16300 -137.165
16400 -167.707
16500 -344.165
16600 87.8996
16700 18.4051
16800 44.3252
16900 -134.372
17000 249.314
17100 66.4835
17200 -185.667
17300 -57.1883
17400 229.127
17500 229.103
17600 -5.0289
17700 -50.2651
17800 -1.09132
17900 314.773
18000 110.292
18100 -37.7927
18200 66.6595
18300 -203.412
18400 0.325257
18500 -68.4453
18600 -123.705
18700 226.002
18800 296.308
18900 233.04
19000 54.1356
19100 94.3167
19200 -102.17
19300 -222.013
19400 -30.818
19500 49.3483
19600 128.377
19700 -84.2798
19800 -73.0068
19900 -126.787
20000 -192.503
20100 -27.212
20200 114.719
20300 122.736
20400 10.7611
20500 -193.845
20600 -75.516
20700 -49.814
20800 175.688
20900 -130.108
21000 63.1562
21100 -170.941
21200 -186.226
21300 -188.174
21400 9.27635
21500 35.5448
21600 -63.2356
21700 -67.4096
21800 -115.771
21900 151.238
22000 -35.7789
22100 33.4725
22200 18.184
22300 -191.103
22400 33.7439
22500 93.4864
22600 85.2379
22700 -192.115
22800 -99.2932
22900 -47.2094
23000 -120.024
23100 4.55568
23200 -38.3744
23300 -134.108
23400 -111.717
23500 41.1755
23600 171.022
23700 -103.288
23800 -175.931
23900 -157.811
24000 -160.627
24100 -34.4537
24200 58.5882
24300 -128.165
24400 -42.4427
24500 -431.583
24600 -322.828
24700 -205.396
24800 -35.4394
24900 -0.67899
25000 -14.6547
25100 -249.084
25200 17.8503
25300 21.586
25400 -214.313
25500 -6.91458
25600 38.928
25700 188.381
25800 -5.9106
25900 -182.363
26000 -49.456
26100 40.8254
26200 198.818
26300 -193.108
26400 -42.2895
26500 210.152
26600 101.077
26700 33.7157
26800 -207.332
26900 209.303
27000 61.2999
27100 -15.0117
27200 -226.283
27300 -30.6541
27400 -300.815
27500 -25.3781
27600 5.0947
27700 98.6714
27800 -195.845
27900 -320.076
28000 -33.9769
28100 156.217
28200 61.7471
28300 -170.259
28400 -201.745
28500 -174.02
28600 -203.909
28700 -206.069
28800 -333.217
28900 -64.2079
29000 -290.076
29100 -209.284
29200 10.4403
29300 14.1522
29400 -171.042
29500 -3.65179
29600 162.135
29700 412.22
29800 50.5935
29900 -40.219
30000 -304.307
30100 -80.6083
30200 25.2371
30300 -163.157
30400 25.994
30500 -47.2693
30600 239.18
30700 101.586
30800 -390.721
30900 27.574
31000 140.207
31100 108.474
31200 92.1415
31300 252.41
31400 -60.4169
31500 112.995
31600 22.7687
31700 -103.138
31800 -82.0677
31900 187.006
32000 -102.786
32100 -86.6068
32200 94.0739
32300 -102.318
32400 121.513
32500 181.39
32600 -2.65625
32700 242.5
32800 -330.983
32900 -280.407
33000 -144.165
33100 -49.7486
33200 -38.7715
33300 -63.9162
33400 -139.352
33500 -93.43
33600 110.137
33700 -41.6561
33800 -50.4417
33900 18.2557
34000 20.2528
34100 169.995
34200 149.855
34300 -168.916
34400 -42.5486
34500 -187.854
34600 -247.082
34700 -157.284
34800 -113.349
34900 161.365
35000 -237.389
35100 -100.588
35200 42.1403
35300 58.5315
35400 207.119
35500 31.672
35600 122.467
35700 129.854
35800 43.5422
35900 154.934
36000 22.3559
36100 118.371
36200 129.596
36300 -24.1179
36400 -165.286
36500 112.897
36600 195.449
36700 -66.8095
36800 -87.3813
36900 92.6054
37000 49.2797
37100 49.3568
