#NOTE: MSDs should be divided by (temperature^2).
#NOTE: MSDs have been divided by 2.
#Time	MSD_x	MSD_y	MSD_z	MSD_all
 10 6.11515 6.115 6.13018 6.12011
 20 16.8059 16.8105 16.8523 16.8229
 30 25.5546 25.5612 25.6336 25.5832
 40 30.6424 30.6258 30.7367 30.6683
 50 34.7124 34.6521 34.7943 34.7196
 60 41.4138 41.2883 41.4771 41.393
 70 49.8787 49.6787 49.922 49.8264
 80 58.8654 58.5922 58.9004 58.786
 90 66.9675 66.6137 67.0066 66.8626
 100 74.1733 73.7355 74.2273 74.0454
 110 81.1733 80.655 81.2301 81.0195
 120 88.2912 87.6959 88.3283 88.1051
 130 95.8327 95.1703 95.8608 95.6213
 140 103.362 102.637 103.39 103.13
 150 110.842 110.067 110.885 110.598
 160 118.102 117.288 118.161 117.85
 170 125.276 124.421 125.352 125.016
 180 132.383 131.49 132.506 132.127
 190 139.324 138.37 139.508 139.067
 200 146.285 145.245 146.502 146.011
 210 153.103 151.962 153.291 152.785
 220 159.887 158.65 160.023 159.52
 230 166.544 165.226 166.66 166.143
 240 173.126 171.717 173.261 172.701
 250 179.699 178.19 179.875 179.255
 250 179.137 178.733 181.094 179.655
 500 330.852 326.061 332.586 329.833
 750 472.28 462.674 472.709 469.221
 1000 608.071 594.402 609.323 603.932
 1250 741.294 723.539 744.482 736.438
 1500 871.592 853.375 876.174 867.047
 1750 998.62 983.224 1008.71 996.85
 2000 1126.43 1111.77 1141.96 1126.72
 2250 1252.46 1238.47 1275.31 1255.42
 2500 1378.3 1366.61 1405.31 1383.41
 2750 1504.42 1495.9 1532.08 1510.8
 3000 1628.03 1626.13 1657.52 1637.23
 3250 1751.62 1758.13 1781.57 1763.77
 3500 1879.15 1886.36 1908.85 1891.45
 3750 2003.88 2010.22 2033.58 2015.89
 4000 2129.14 2136.72 2155.21 2140.36
 4250 2252.46 2263.69 2277.36 2264.5
 4500 2372.23 2390.98 2399.88 2387.69
 4750 2490.99 2517.77 2520.98 2509.91
 5000 2608.36 2641.8 2642.47 2630.88
 5250 2722.82 2767.04 2766.42 2752.09
 5500 2835.31 2891.77 2890.95 2872.68
 5750 2947.07 3017.03 3013.9 2992.67
 6000 3058.42 3140.61 3138.56 3112.53
 6250 3170.35 3264.76 3262.44 3232.52
 6250 3025.62 3343.74 3318.52 3229.29
 12500 5804.21 6480.45 6427.71 6237.46
 18750 8468.71 9858.16 9115.32 9147.4
 25000 11053.8 13266.3 11715.1 12011.8
 31250 13940.4 16479.9 14283.6 14901.3
 37500 16694.5 19844.7 17049.5 17862.9
 43750 19633.4 23023.3 19814.4 20823.7
 50000 22718.4 26252.6 22619.6 23863.5
 56250 25738.6 29371.4 25435.7 26848.6
 62500 28732.3 32172.5 28299.4 29734.8
 68750 31747.9 35047.6 31081.8 32625.7
 75000 34893.8 38246.7 33864.6 35668.4
 81250 38127.2 41183.3 36543.2 38617.9
 87500 41298.6 44098.1 39101.9 41499.5
 93750 44347.8 46856.6 41630.2 44278.2
 100000 47395.4 49802.9 44257.2 47151.8
 106250 50480 52962.3 47036.3 50159.5
 112500 53304.4 56339.6 49672.7 53105.6
 118750 56135.1 59794.8 52224.2 56051.4
 125000 58828 62920.6 54718 58822.2
 131250 61670.4 66110.8 57134.9 61638.7
 137500 64637.9 69220.2 59693.6 64517.3
 143750 67579.5 72032.7 62264.1 67292.1
 150000 70343.4 74814.3 64800.9 69986.2
 156250 73088.6 77567.4 67248.9 72634.9
 156250 75620.3 65527.3 69999.1 70382.2
 312500 149009 126879 147830 141239
 468750 255538 186383 234811 225577
 625000 385240 257936 310187 317788
 781250 508496 320319 361733 396849
 937500 637582 392290 406523 478798
 1.09375e+06 788963 462871 446734 566189
 1.25e+06 924419 543413 497422 655085
 1.40625e+06 1.06831e+06 598146 556177 740879
 1.5625e+06 1.20416e+06 673801 631831 836597
 1.71875e+06 1.33623e+06 746312 716505 933014
 1.875e+06 1.45548e+06 786590 808523 1.01686e+06
 2.03125e+06 1.57093e+06 825066 912411 1.1028e+06
 2.1875e+06 1.71243e+06 873246 1.03383e+06 1.2065e+06
 2.34375e+06 1.85981e+06 913818 1.17381e+06 1.31581e+06
 2.5e+06 2.0347e+06 946465 1.3604e+06 1.44719e+06
 2.65625e+06 2.20478e+06 990318 1.54948e+06 1.58153e+06
 2.8125e+06 2.35991e+06 1.01231e+06 1.72851e+06 1.70024e+06
 2.96875e+06 2.48419e+06 990578 1.88901e+06 1.78793e+06
 3.125e+06 2.62852e+06 965423 2.02845e+06 1.87413e+06
 3.28125e+06 2.74e+06 937428 2.16111e+06 1.94618e+06
 3.4375e+06 2.84161e+06 864650 2.26883e+06 1.9917e+06
 3.59375e+06 2.95743e+06 815555 2.39744e+06 2.05681e+06
 3.75e+06 3.07328e+06 761198 2.52083e+06 2.11844e+06
 3.90625e+06 3.21807e+06 698514 2.63665e+06 2.18441e+06
 3.90625e+06 1.91167e+06 1.35268e+06 3.72059e+06 2.32831e+06
 7.8125e+06 5.21463e+06 2.12112e+06 3.56209e+06 3.63262e+06
