# Time-averaged data for fix TempAve
# TimeStep c_T
100 291.823
200 294.904
300 297.598
400 298.176
500 298.19
600 299.133
700 299.58
800 299.554
900 295.645
1000 296.542
1100 296.02
1200 300.879
1300 297.879
1400 297.16
1500 303.374
1600 298.857
1700 293.98
1800 298.151
1900 301.412
2000 294.972
2100 295.201
2200 294.88
2300 298.019
2400 299.991
2500 298.051
2600 301.193
2700 294.542
2800 297.251
2900 295.686
3000 302.004
3100 299.232
3200 297.387
3300 293.571
3400 294.726
3500 296.898
3600 299.126
3700 301.119
3800 296.404
3900 291.066
4000 297.249
4100 296.295
4200 299.039
4300 301.077
4400 297.39
4500 295.377
4600 292.681
4700 293.144
4800 297.28
4900 297.519
5000 300.553
5100 298.794
5200 297.206
5300 293.885
5400 294.742
5500 301.375
5600 298.035
5700 300.581
5800 293.961
5900 294.482
6000 297.787
6100 299.423
6200 298.389
6300 292.505
6400 295.176
6500 300.685
6600 300.74
6700 303.138
6800 297.256
6900 297.071
7000 299.131
7100 298.553
7200 298.912
7300 303.24
7400 302.399
7500 298.491
7600 296.283
7700 295.494
7800 300.326
7900 303.145
8000 297.928
8100 295.891
8200 297.084
8300 297.214
8400 302.598
8500 299.767
8600 294.318
8700 295.319
8800 296.364
8900 298.471
9000 298.342
9100 296.528
9200 298.93
9300 301.239
9400 302.653
9500 300.607
9600 296.613
9700 297.488
9800 299.178
9900 298.002
10000 294.681
10100 291.492
10200 300.052
10300 301.219
10400 298.047
10500 296.14
10600 296.744
10700 300.123
10800 303.192
10900 298.464
11000 296.849
11100 296.938
11200 297.511
11300 304.604
11400 301.308
11500 300.148
11600 295.385
11700 298.915
11800 299.618
11900 294.291
12000 294.792
12100 302.067
12200 299.518
12300 297.364
12400 294.558
12500 297.745
12600 303.344
12700 299.048
12800 297.829
12900 293.93
13000 295.937
13100 302.24
13200 297.934
13300 299.106
13400 296.982
13500 293.767
13600 295.996
13700 294.53
13800 298.442
13900 301.479
14000 296.439
14100 293.903
14200 298.964
14300 303.817
14400 300.247
14500 299.05
14600 296.195
14700 295.544
14800 297.019
14900 296.897
15000 300.649
15100 297.848
15200 298.83
15300 293.55
15400 297.201
15500 300.664
15600 298.377
15700 301.041
15800 299.015
15900 296.299
16000 296.767
16100 296.588
16200 299.241
16300 302.297
16400 296.951
16500 292.23
16600 296.68
16700 298.639
16800 300.391
16900 296.579
17000 300.222
17100 293.688
17200 292.441
17300 298.438
17400 297.404
17500 298.897
17600 300.474
17700 305.247
17800 302.206
17900 298.731
18000 296.113
18100 297.439
18200 301.53
18300 300.233
18400 299.022
18500 293.854
18600 296.771
18700 303.035
18800 300.787
18900 295.987
19000 296.259
19100 299.818
19200 298.249
19300 292.132
