#NOTE: MSDs should be divided by the temperature.
#NOTE: MSDs have been divided by 2 or 10 (i.e., the viscosity computed from all components).
#Time	MSD_xx	MSD_yy	MSD_zz	MSD_xy	MSD_xz	MSD_yz	MSD_off	MSD_all	MSD_bulkvisc
 10 1.02473e+09 1.01936e+09 1.02196e+09 1.02265e+09 1.01764e+09 1.02391e+09 1.0214e+09 1.02165e+09 1.1612e+09
 20 3.27326e+09 3.2556e+09 3.26611e+09 3.2663e+09 3.24525e+09 3.27265e+09 3.2614e+09 3.26284e+09 4.32165e+09
 30 6.80221e+09 6.76405e+09 6.78662e+09 6.78783e+09 6.74165e+09 6.80032e+09 6.7766e+09 6.77968e+09 9.31117e+09
 40 1.11138e+10 1.10486e+10 1.10853e+10 1.10908e+10 1.1011e+10 1.11078e+10 1.10699e+10 1.10749e+10 1.57853e+10
 50 1.58097e+10 1.57153e+10 1.57672e+10 1.57816e+10 1.56598e+10 1.57991e+10 1.57469e+10 1.57537e+10 2.3457e+10
 60 2.10493e+10 2.09211e+10 2.09877e+10 2.10192e+10 2.0849e+10 2.10312e+10 2.09664e+10 2.09743e+10 3.22094e+10
 70 2.62613e+10 2.61008e+10 2.61808e+10 2.62348e+10 2.60103e+10 2.62375e+10 2.61608e+10 2.61689e+10 4.16985e+10
 80 3.18143e+10 3.16226e+10 3.17122e+10 3.17971e+10 3.15148e+10 3.17878e+10 3.16999e+10 3.17065e+10 5.18763e+10
 90 3.73841e+10 3.71641e+10 3.72572e+10 3.73795e+10 3.70379e+10 3.736e+10 3.72591e+10 3.72628e+10 6.24686e+10
 100 4.31292e+10 4.28865e+10 4.2977e+10 4.31424e+10 4.27428e+10 4.31178e+10 4.3001e+10 4.29996e+10 7.33894e+10
 110 4.91328e+10 4.88684e+10 4.89506e+10 4.91659e+10 4.87095e+10 4.91418e+10 4.90057e+10 4.8997e+10 8.45479e+10
 120 5.52384e+10 5.49548e+10 5.50257e+10 5.5294e+10 5.47821e+10 5.52771e+10 5.51177e+10 5.50998e+10 9.58018e+10
 130 6.17441e+10 6.14386e+10 6.14977e+10 6.1824e+10 6.1256e+10 6.18192e+10 6.16331e+10 6.16039e+10 1.07192e+11
 140 6.83724e+10 6.80412e+10 6.80888e+10 6.84749e+10 6.78502e+10 6.8488e+10 6.8271e+10 6.82296e+10 1.18577e+11
 150 7.53348e+10 7.49743e+10 7.50119e+10 7.54604e+10 7.47768e+10 7.54959e+10 7.52444e+10 7.51894e+10 1.30013e+11
 160 8.24823e+10 8.20856e+10 8.21146e+10 8.2628e+10 8.18826e+10 8.26909e+10 8.24005e+10 8.23313e+10 1.41439e+11
 170 8.98009e+10 8.93657e+10 8.93876e+10 8.99664e+10 8.91557e+10 9.00615e+10 8.97278e+10 8.96439e+10 1.52859e+11
