# Time-averaged data for fix AveAll
# TimeStep v_TotEn v_PotEn c_T c_P
100 -16132.4 -19990.7 298.77 -54.1996
200 -16183.1 -20027.8 297.718 -296.358
300 -16249.8 -20107.5 298.728 92.7676
400 -16326.3 -20107.3 292.788 123.345
500 -16295.1 -20119.4 296.142 17.4326
600 -16252.2 -20108.8 298.64 -56.2688
700 -16237.7 -20053.5 295.481 211.199
800 -16189.6 -20074.5 300.837 191.998
900 -16192.8 -20028.3 297.011 -110.341
1000 -16221.9 -20079.4 298.71 -94.4493
1100 -16290 -20089.4 294.213 -104.572
1200 -16303.5 -20105.3 294.39 -213.084
1300 -16219.1 -20077.9 298.808 -132.709
1400 -16150.9 -20018.9 299.527 -130.316
1500 -16147.1 -20032.9 300.9 66.533
1600 -16163.3 -19989.3 296.27 -265.996
1700 -16152 -20026 299.987 -193.111
1800 -16198.9 -20071.2 299.857 -89.3159
1900 -16318.5 -20133 295.384 27.7398
2000 -16308.2 -20080.6 292.121 -73.3434
2100 -16223.2 -20071.7 298.014 -53.3082
2200 -16168.7 -20013.3 297.711 193.948
2300 -16129.1 -20010.1 300.527 103.732
2400 -16176.8 -20046.6 299.658 106.436
2500 -16287.1 -20085.5 294.129 -134.18
2600 -16281 -20107.2 296.289 -118.982
2700 -16222.8 -20043.5 295.854 72.5244
2800 -16137.3 -20011.5 300.007 43.9562
2900 -16127.5 -20005.3 300.281 114.275
3000 -16160.6 -20012.1 298.246 -4.21998
3100 -16189.9 -20037.7 297.96 -46.4398
3200 -16241.7 -20075.4 296.866 -114.051
3300 -16353.8 -20159.9 294.73 -305.239
3400 -16389.3 -20193.8 294.609 -192.682
3500 -16329.9 -20154.8 296.188 403.058
3600 -16248.2 -20083.9 297.021 108.113
3700 -16223.6 -20050.6 296.347 -294.442
3800 -16187.6 -20061.3 299.966 -79.0809
3900 -16173.3 -20037.2 299.206 -58.3274
4000 -16213 -20033.5 295.845 48.8802
4100 -16261.9 -20069.2 294.823 97.2516
4200 -16251.5 -20071.7 295.822 -369.048
4300 -16156.4 -20031.3 300.059 9.48751
4400 -16125.4 -19991.9 299.405 -30.9865
4500 -16144.4 -20006 299.027 -296.029
4600 -16223.8 -20037.2 295.299 6.06639
4700 -16314.6 -20121.4 294.779 112.261
4800 -16307.9 -20095.7 293.315 127.176
4900 -16219 -20053 296.89 120.88
5000 -16165.7 -19986.9 295.904 64.7679
5100 -16125.5 -20020.1 301.578 84.7559
5200 -16160.4 -20013.4 298.367 73.9768
5300 -16225.7 -20026.9 294.349 -16.535
5400 -16197 -20039.6 297.554 61.8855
5500 -16076.9 -19979.7 302.215 181.605
5600 -16062.5 -19960.2 301.825 -1.35386
5700 -16117.9 -19982.3 299.246 108.501
5800 -16146.4 -19975.6 296.517 -196.423
5900 -16138.3 -19980.6 297.537 -58.5879
6000 -16132.8 -19995.5 299.118 -53.0614
6100 -16160.8 -19984.4 296.078 -85.0877
6200 -16236.4 -20038.9 294.457 -154.361
6300 -16273 -20120.8 297.964 19.1788
6400 -16306.4 -20121.9 295.457 -173.699
6500 -16304.4 -20123.7 295.752 12.0486
6600 -16214.6 -20079.8 299.301 -154.924
6700 -16142.4 -20006.8 299.245 202.132
6800 -16133.8 -20031.1 301.788 219.452
6900 -16203.7 -20024.9 295.902 94.3009
7000 -16226.1 -20042.7 295.548 84.0073
7100 -16216.7 -20054.9 297.222 8.83659
7200 -16195.9 -20046.2 298.157 140.291
7300 -16148 -19971.4 296.07 88.164
7400 -16063.5 -19979.1 303.214 137.305
7500 -16089 -19965 300.14 2.94638
7600 -16144 -20027.5 300.718 -18.6932
7700 -16174.3 -19991.7 295.61 14.4918
7800 -16146.4 -19978.1 296.709 52.3808
7900 -16077.5 -19914.2 297.093 -105.654
8000 -16025.1 -19952.1 304.092 9.64678
8100 -16065.9 -19922.6 298.649 52.677
8200 -16088.8 -19970.5 300.587 -92.5518
8300 -16161.7 -20064.3 302.201 -68.0841
8400 -16249.5 -20079.2 296.565 -172.005
8500 -16259.6 -20085.8 296.288 -280.882
8600 -16212.4 -20066.4 298.444 -325.955
8700 -16131.7 -20003.9 299.845 -255.113
8800 -16090.3 -20036.6 305.593 125.768
8900 -16222.2 -20053 296.636 -188.444
9000 -16255.5 -20070.7 295.435 3.10876
9100 -16205.6 -20050.8 297.763 78.8564
9200 -16141.5 -20036.3 301.603 -23.3382
9300 -16172 -20061.1 301.154 200.816
9400 -16268.7 -20069.1 294.284 175.884
9500 -16254.4 -20079.2 296.176 11.9558
9600 -16217.2 -20088.4 299.771 -11.114
9700 -16198.9 -20047.4 298.011 40.7013
9800 -16125.9 -19993.1 299.456 -15.8797
9900 -16038.4 -19901.3 299.125 84.8811
10000 -15999.5 -19895.6 301.704 -135.071
