# Radius 	finiterdf__met_met	rdf__met_met	finiterdf__met_wat	rdf__met_wat	finiterdf__wat_wat	rdf__wat_wat	
0.00806608 0	0	0	0	0	0	
0.0241982 0	0	0	0	0	0	
0.0403304 0	0	0	0	0	0	
0.0564625 0	0	0	0	0	0	
0.0725947 0	0	0	0	0	0	
0.0887268 0	0	0	0	0	0	
0.104859 0	0	0	0	0	0	
0.120991 0	0	0	0	0	0	
0.137123 0	0	0	0	0	0	
0.153255 0	0	0	0	0	0	
0.169388 0	0	0	0	0	0	
0.18552 0	0	0	0	0	0	
0.201652 0	0	0	0	0	0	
0.217784 0	0	0	0	0	0	
0.233916 0	0	0	0	0	0	
0.250048 0	0	0	0	0	0	
0.266181 0	0	0	0	0	0	
0.282313 0	0	0	0	0	0	
0.298445 0	0	0	0	0	0	
0.314577 0	0	0	0	0	0	
0.330709 0	0	0	0	0	0	
0.346841 0	0	0	0	0	0	
0.362973 0	0	0	0	0	0	
0.379106 0	0	0	0	0	0	
0.395238 0	0	0	0	0	0	
0.41137 0	0	0	0	0	0	
0.427502 0	0	0	0	0	0	
0.443634 0	0	0	0	0	0	
0.459766 0	0	0	0	0	0	
0.475899 0	0	0	0	0	0	
0.492031 0	0	0	0	0	0	
0.508163 0	0	0	0	0	0	
0.524295 0	0	0	0	0	0	
0.540427 0	0	0	0	0	0	
0.556559 0	0	0	0	0	0	
0.572691 0	0	0	0	0	0	
0.588824 0	0	0	0	0	0	
0.604956 0	0	0	0	0	0	
0.621088 0	0	0	0	0	0	
0.63722 0	0	0	0	0	0	
0.653352 0	0	0	0	0	0	
0.669484 0	0	0	0	0	0	
0.685617 0	0	0	0	0	0	
0.701749 0	0	0	0	0	0	
0.717881 0	0	0	0	0	0	
0.734013 0	0	0	0	0	0	
0.750145 0	0	0	0	0	0	
0.766277 0	0	0	0	0	0	
0.782409 0	0	0	0	0	0	
0.798542 0	0	0	0	0	0	
0.814674 0	0	0	0	0	0	
0.830806 0	0	0	0	0	0	
0.846938 0	0	0	0	0	0	
0.86307 0	0	0	0	0	0	
0.879202 0	0	0	0	0	0	
0.895335 0	0	0	0	0	0	
0.911467 0	0	0	0	0	0	
0.927599 0	0	0	0	0	0	
0.943731 0	0	0	0	0	0	
0.959863 0	0	0	0	0	0	
0.975995 0	0	0	0	0	0	
0.992127 0	0	0	0	0	0	
1.00826 0	0	0	0	0	0	
1.02439 0	0	0	0	0	0	
1.04052 0	0	0	0	0	0	
1.05666 0	0	0	0	0	0	
1.07279 0	0	0	0	0	0	
1.08892 0	0	0	0	0	0	
1.10505 0	0	0	0	0	0	
1.12118 0	0	0	0	0	0	
1.13732 0	0	0	0	0	0	
1.15345 0	0	0	0	0	0	
1.16958 0	0	0	0	0	0	
1.18571 0	0	0	0	0	0	
1.20185 0	0	0	0	0	0	
1.21798 0	0	0	0	0	0	
1.23411 0	0	0	0	0	0	
1.25024 0	0	0	0	0	0	
1.26637 0	0	0	0	0	0	
1.28251 0	0	0	0	0	0	
1.29864 0	0	0	0	0	0	
1.31477 0	0	0	0	0	0	
1.3309 0	0	0	0	0	0	
1.34703 0	0	0	0	0	0	
1.36317 0	0	0	0	0	0	
1.3793 0	0	0	0	0	0	
1.39543 0	0	0	0	0	0	
1.41156 0	0	0	0	0	0	
1.4277 0	0	0	0	0	0	
1.44383 0	0	0	0	0	0	
1.45996 0	0	0	0	0	0	
1.47609 0	0	0	0	0	0	
1.49222 0	0	0	0	0	0	
1.50836 0	0	0	0	0	0	
1.52449 0	0	0	0	0	0	
1.54062 0	0	0	0	0	0	
1.55675 0	0	0	0	0	0	
1.57289 0	0	0	0	0	0	
1.58902 0	0	0	0	0	0	
1.60515 0	0	0	0	0	0	
1.62128 0	0	0	0	0	0	
1.63741 0	0	0	0	0	0	
1.65355 0	0	0	0	0	0	
1.66968 0	0	0	0	0	0	
1.68581 0	0	0	0	0	0	
1.70194 0	0	0	0	0	0	
1.71807 0	0	0	0	0	0	
1.73421 0	0	0	0	0	0	
1.75034 0	0	0	0	0	0	
1.76647 0	0	0	0	0	0	
1.7826 0	0	0	0	0	0	
1.79874 0	0	0	0	0	0	
1.81487 0	0	0	0	0	0	
1.831 0	0	0	0	0	0	
1.84713 0	0	0	0	0	0	
1.86326 0	0	0	0	0	0	
1.8794 0	0	0	0	0	0	
1.89553 0	0	0	0	0	0	
1.91166 0	0	0	0	0	0	
1.92779 0	0	0	0	0	0	
1.94392 0	0	0	0	0	0	
1.96006 0	0	0	0	0	0	
1.97619 0	0	0	0	0	0	
1.99232 0	0	0	0	0	0	
2.00845 0	0	0	0	0	0	
2.02459 0	0	0	0	0	0	
2.04072 0	0	0	0	0	0	
2.05685 0	0	0	0	0	0	
2.07298 0	0	0	0	0	0	
2.08911 0	0	0	0	0	0	
2.10525 0	0	0	0	0	0	
2.12138 0	0	0	0	0	0	
2.13751 0	0	0	0	0	0	
2.15364 0	0	0	0	0	0	
2.16977 0	0	0	0	0	0	
2.18591 0	0	0	0	0	0	
2.20204 0	0	0	0	0	0	
2.21817 0	0	0	0	0	0	
2.2343 0	0	0	0	0	0	
2.25044 0	0	0	0	0	0	
2.26657 0	0	0	0	0	0	
2.2827 0	0	0	0	0	0	
2.29883 0	0	0	0	0	0	
2.31496 3.49764e-06	3.49921e-06	0	0	0	0	
2.3311 3.62187e-05	3.62345e-05	1.7247e-06	1.72373e-06	0	0	
2.34723 9.69612e-05	9.70023e-05	7.65483e-06	7.65042e-06	0	0	
2.36336 0.000401025	0.000401191	5.20158e-05	5.19852e-05	6.71172e-06	6.71449e-06	
2.37949 0.00119344	0.00119392	0.000262358	0.000262201	4.80024e-05	4.80216e-05	
2.39562 0.00348164	0.00348299	0.000947162	0.000946582	0.000197598	0.000197674	
2.41176 0.00893607	0.00893943	0.00299937	0.00299749	0.000807243	0.000807547	
2.42789 0.020103	0.0201103	0.00825091	0.00824565	0.00279826	0.00279928	
2.44402 0.0424478	0.0424627	0.020379	0.0203658	0.00829532	0.00829823	
2.46015 0.0800602	0.0800874	0.0448111	0.0447814	0.0219344	0.0219418	
2.47629 0.139736	0.139781	0.0889947	0.0889348	0.0505131	0.0505295	
2.49242 0.229911	0.229984	0.164391	0.164279	0.107815	0.107849	
2.50855 0.351201	0.35131	0.279772	0.279578	0.207001	0.207063	
2.52468 0.506766	0.50692	0.445547	0.445234	0.36541	0.365517	
2.54081 0.694562	0.694769	0.6654	0.66493	0.599777	0.59995	
2.55695 0.907401	0.907671	0.938017	0.937353	0.920414	0.920679	
2.57308 1.13743	1.13777	1.25608	1.25519	1.32691	1.3273	
2.58921 1.371	1.37142	1.60996	1.60884	1.81934	1.81989	
2.60534 1.59562	1.59612	1.97617	1.97482	2.3697	2.37047	
2.62148 1.8056	1.80618	2.34214	2.34059	2.95288	2.95393	
2.63761 1.98406	1.98474	2.6834	2.68169	3.538	3.53939	
2.65374 2.12386	2.12462	2.98415	2.98234	4.08743	4.08922	
2.66987 2.22334	2.22417	3.2321	3.23024	4.59125	4.59351	
2.686 2.28066	2.28156	3.41869	3.41685	4.99699	4.99976	
2.70214 2.30534	2.30629	3.54006	3.5383	5.31247	5.31576	
2.71827 2.28727	2.28826	3.59863	3.59699	5.52075	5.52457	
2.7344 2.2421	2.24312	3.59756	3.59607	5.62489	5.6292	
2.75053 2.17184	2.17287	3.54691	3.54559	5.63386	5.6386	
2.76666 2.07668	2.0777	3.44826	3.44711	5.55088	5.55596	
2.7828 1.97433	1.97533	3.31625	3.31528	5.4085	5.41384	
2.79893 1.85845	1.85942	3.15961	3.15879	5.1996	5.20511	
2.81506 1.74134	1.74227	2.98602	2.98535	4.94749	4.95306	
2.83119 1.61689	1.61777	2.80348	2.80293	4.67314	4.6787	
2.84733 1.4967	1.49753	2.61157	2.61114	4.37721	4.38267	
2.86346 1.37788	1.37866	2.42466	2.42432	4.0811	4.08642	
2.87959 1.26905	1.26977	2.24264	2.24237	3.78102	3.78613	
2.89572 1.16398	1.16464	2.06526	2.06505	3.4946	3.49948	
2.91185 1.06752	1.06813	1.89924	1.89908	3.22029	3.22492	
2.92799 0.976753	0.977309	1.74597	1.74584	2.95942	2.96378	
2.94412 0.896442	0.89695	1.60119	1.60109	2.71927	2.72336	
2.96025 0.822162	0.822626	1.47019	1.47011	2.49444	2.49826	
2.97638 0.752353	0.752774	1.35103	1.35097	2.29332	2.29689	
2.99251 0.69553	0.695915	1.24252	1.24247	2.11063	2.11396	
3.00865 0.639655	0.640004	1.14488	1.14484	1.94257	1.94567	
